======================================================================
3-Round + Parallel Analysis (FIXED) - Question #3397
======================================================================

Title: List of 2008 New Zealand fuel economy ratings
Question: how many vehicles on the list get at least 50mpg?
Expected Answer: ['20']

----------------------------------------------------------------------
Table:
|     | Model                                    | Fuel Type   |   mpg (US gallons) |   L/100 km |   NZ Rating\n(Stars) |
|  44 | Peugeot 308 XS MANUAL                    | petrol      |               35   |        6.7 |                  4.5 |
|  45 | Peugeot 308 HDI AUTO                     | diesel      |               34.6 |        6.8 |                  4.5 |
|  46 | Skoda Fabia 1.4 TDI                      | diesel      |               51   |        4.6 |                  5   |
|  47 | Skoda Fabia 1.9 TDI COMBI                | diesel      |               48   |        4.9 |                  5   |
|  48 | Volkswagen Jetta 1.9 TDI 7DSG            | diesel      |               51   |        4.6 |                  5   |
|  49 | Volkswagen Jetta 2.0 TDI DSG             | diesel      |               43.5 |        5.4 |                  5   |
|  50 | Volkswagen Jetta TDI 103KW 6DSG          | diesel      |               37.9 |        6.2 |                  4.5 |
|  51 | Hyundai i30 1.6 CRDI ELITE M5            | diesel      |               50   |        4.7 |                  5   |
|  52 | Hyundai i30 1.6 CRDI 5D M5               | diesel      |               50   |        4.7 |                  5   |
|  53 | Hyundai i30 1.6 CRDI ELITE A4            | diesel      |               39.2 |        6   |                  5   |
|  54 | Hyundai i30 1.6 5D M5                    | petrol      |               37.9 |        6.2 |                  4.5 |
|  55 | Peugeot 207 HDI 1.6 5DR 5 SP M D         | diesel      |               49   |        4.8 |                  5   |
|  56 | Peugeot 207 XS 1.4 5DR 5SPD M P          | petrol      |               37.3 |        6.3 |                  4.5 |
|  57 | Citroen C3 1.6 HDI 5DR 5SPD              | diesel      |               48   |        4.9 |                  5   |
|  58 | Citroen C3 1.6 5DR 5SPD                  | petrol      |               36.2 |        6.5 |                  4.5 |
|  59 | Kia Cerato 1.6 DIESEL 5M SEDAN           | diesel      |               48   |        4.9 |                  5   |
|  60 | Daihatsu Sirion 1.0 HATCH 5MT            | petrol      |               47   |        5   |                  5   |
|  61 | Daihatsu Sirion 1.3P HATCH 5M            | petrol      |               40.5 |        5.8 |                  5   |
|  62 | Daihatsu Sirion 1.3P HATCH 4A            | petrol      |               36.2 |        6.5 |                  4.5 |
|  63 | Daihatsu Sirion 1.5P SX HATCH 4AT        | petrol      |               35   |        6.7 |                  4.5 |
|  64 | Smart Fortwo CAB                         | petrol      |               47   |        5   |                  5   |
|  65 | Smart Fortwo COUPE                       | petrol      |               47   |        5   |                  5   |
|  66 | Toyota Corolla 1.4D HATCH5 5M            | diesel      |               47   |        5   |                  5   |
|  67 | Toyota Corolla 2.0D HATCH5 6M            | diesel      |               43.5 |        5.4 |                  5   |
|  68 | Toyota Corolla 1.5P WAGON 5DR 5M         | petrol      |               40.5 |        5.8 |                  5   |
|  69 | Volkswagen Passat TDI BLUEMOTION SED     | diesel      |               46   |        5.1 |                  5   |
|  70 | Volkswagen Passat TDI BLUEMOTION VAR     | diesel      |               44.3 |        5.3 |                  5   |
|  71 | Volkswagen Passat 2.0 TDI DSG SEDAN      | diesel      |               38.5 |        6.1 |                  4.5 |
|  72 | Volkswagen Passat 2.0 TDI DSG VARIANT    | diesel      |               37.9 |        6.2 |                  4.5 |
|  73 | Volkswagen Passat TDI 125KW 6DSG SED     | diesel      |               36.2 |        6.5 |                  4.5 |
|  74 | Volkswagen Passat TDI 125KW 6DSG VAR     | diesel      |               35.6 |        6.6 |                  4.5 |
|  75 | Volkswagen Passat TDI 103KW 4M VAR       | diesel      |               35   |        6.7 |                  4.5 |
|  76 | Kia Picanto 1.1 MANUAL                   | petrol      |               45.2 |        5.2 |                  5   |
|  77 | Kia Picanto 1.1 AUTO                     | petrol      |               40.5 |        5.8 |                  5   |
|  78 | Skoda Octavia 1.9 TDI MAN COMBI          | diesel      |               45.2 |        5.2 |                  5   |
|  79 | Skoda Octavia RS 2.0 TDI SEDAN MAN       | diesel      |               41.2 |        5.7 |                  5   |
|  80 | Skoda Octavia RS 2.0 TDI COMBI MAN       | diesel      |               40.5 |        5.8 |                  5   |
|  81 | Skoda Octavia 1.9 TDI AUTO               | diesel      |               40.5 |        5.8 |                  5   |
|  82 | Skoda Octavia 1.9 TDI COMBI AUTO         | diesel      |               40.5 |        5.8 |                  5   |
|  83 | Skoda Octavia 4X4 2.0 TDI COMBI M        | diesel      |               37.9 |        6.2 |                  4.5 |
|  84 | Skoda Octavia SCOUT 2.0 TDI              | diesel      |               36.7 |        6.4 |                  4.5 |
|  85 | BMW 118D HATCH 6M 5DR 1.8L               | diesel      |               44.3 |        5.3 |                  5   |
|  86 | BMW 118D HATCH 6A 5DR 1.8L               | diesel      |               39.2 |        6   |                  5   |
|  87 | Ford Focus 1.8TD WAGON                   | diesel      |               44.3 |        5.3 |                  5   |
|  88 | Ford Focus 1.6 M HATCH                   | petrol      |               35   |        6.7 |                  4.5 |
|  89 | Ford Focus WAG 1.6 MAN                   | petrol      |               35   |        6.7 |                  4.5 |
|  90 | Mercedes Benz A 180 CDI CLASSIC          | diesel      |               44.3 |        5.3 |                  5   |
|  91 | Mercedes Benz A 180 CDI ELEGANCE         | diesel      |               44.3 |        5.3 |                  5   |
|  92 | Mercedes Benz A 180 CDI AVANTGARDE       | diesel      |               44.3 |        5.3 |                  5   |
|  93 | Mercedes Benz A 200 CDI AVANTGARDE       | diesel      |               43.5 |        5.4 |                  5   |
|  94 | Skoda Roomster 1.9 TDI COMFORT           | diesel      |               43.5 |        5.4 |                  5   |
|  95 | Skoda Roomster 1.9 TDI STYLE             | diesel      |               43.5 |        5.4 |                  5   |
|  96 | Audi A4 2.0 TDI MULTI SEDAN              | diesel      |               42.7 |        5.5 |                  5   |
|  97 | Audi A4 2.0 TDI MULTI                    | diesel      |               37.9 |        6.2 |                  4.5 |
|  98 | Audi A4 2.0 TDI MULTI AVANT              | diesel      |               37.9 |        6.2 |                  4.5 |
|  99 | Audi A4 2.7 TDI MULTI SEDAN              | diesel      |               35.6 |        6.6 |                  4.5 |
| 100 | BMW 120D 5 DOOR M E87                    | diesel      |               42.7 |        5.5 |                  5   |
| 101 | BMW 120D 5 DOOR A E87                    | diesel      |               38.5 |        6.1 |                  4.5 |
| 102 | Fiat Bravo SPORT JTD 16V 5DR             | diesel      |               42   |        5.6 |                  5   |
| 103 | Mitsubishi Colt 1.5P LS 5DR HATCH A      | petrol      |               42   |        5.6 |                  5   |
| 104 | Mitsubishi Colt 1.5P VRX 5DR HATCH       | petrol      |               42   |        5.6 |                  5   |
| 105 | Mitsubishi Colt 1.5P VRX 5DR HATCH A     | petrol      |               42   |        5.6 |                  5   |
| 106 | Mitsubishi Colt 1.5P VRX 5DR HATCHA      | petrol      |               42   |        5.6 |                  5   |
| 107 | Mitsubishi Colt 1.5P LS 5DR HATCH M      | petrol      |               39.8 |        5.9 |                  5   |
| 108 | BMW 520D SEDAN 6A 4DR 2.0L               | diesel      |               41.2 |        5.7 |                  5   |
| 109 | Holden Astra MY8.5 CDTI WAGON MAN        | diesel      |               41.2 |        5.7 |                  5   |
| 110 | Holden Astra MY8.5 CDTI HATCH MAN        | diesel      |               41.2 |        5.7 |                  5   |
| 111 | Holden Astra CDTI 5DR HATCH MT           | diesel      |               39.2 |        6   |                  5   |
| 112 | Holden Astra CDTI 5DR MAN                | diesel      |               39.2 |        6   |                  5   |
| 113 | Mini One HATCH 6M 2DR 1.4I               | petrol      |               41.2 |        5.7 |                  5   |
| 114 | Mini One HATCH 6A 2DR 1.4I               | petrol      |               35.6 |        6.6 |                  4.5 |
| 115 | Subaru Legacy WAGON 2.0 TD MANUAL        | diesel      |               41.2 |        5.7 |                  5   |
| 116 | Audi A3 2.0 TDI S TRONIC                 | diesel      |               40.5 |        5.8 |                  5   |
| 117 | Audi A3 SPORTBACK 1.4T FSI               | petrol      |               40.5 |        5.8 |                  5   |
| 118 | Audi A3 2.0 TDI SP A TRONIC              | diesel      |               38.5 |        6.1 |                  4.5 |
| 119 | Subaru Outback WAGON 2.0 TD MANUAL       | diesel      |               40.5 |        5.8 |                  5   |
| 120 | BMW 123D COUPE 6M 3DR 2.0L               | diesel      |               39.8 |        5.9 |                  5   |
| 121 | BMW 123D Saloon 6M 5DR 2.3L              | diesel      |               39.8 |        5.9 |                  5   |
| 122 | BMW 123D HATCH 6M 5DR 2.3L               | diesel      |               38.5 |        6.1 |                  4.5 |
| 123 | BMW 123D 2.3L 6A 3DR COUPE               | diesel      |               38.5 |        6.1 |                  4.5 |
| 124 | Daihatsu Charade 1.0P HATCH5 4A          | petrol      |               39.8 |        5.9 |                  5   |
| 125 | Saab 9-3 Linear SPCOMBI1.9MT             | diesel      |               39.8 |        5.9 |                  5   |
| 126 | Saab 9-3 Linear CONVERTIBLE 1.9TID M     | diesel      |               37.3 |        6.3 |                  4.5 |
| 127 | Volkswagen Caddy DELIVERY 1.9TDI DSG     | diesel      |               39.8 |        5.9 |                  5   |
| 128 | Volkswagen Caddy DELIVERY 1.9TDI MAN     | diesel      |               38.5 |        6.1 |                  4.5 |
| 129 | Volkswagen Caddy LIFE 1.9 TDI DSG        | diesel      |               38.5 |        6.1 |                  4.5 |
| 130 | Volkswagen Caddy LIFE 1.9 TDI MAN        | diesel      |               37.9 |        6.2 |                  4.5 |
| 131 | Alfa Romeo 147 1.9 JTD 16V 5DR 6 SP      | diesel      |               39.2 |        6   |                  5   |
| 132 | Alfa Romeo 159 1.9 JTD 4D 6SP SEDAN      | diesel      |               39.2 |        6   |                  5   |
| 133 | Alfa Romeo 159 2.4 JTD 4D 6SP SEDAN      | diesel      |               34.6 |        6.8 |                  4.5 |
| 134 | BMW 320D SEDAN 6A 4DR 2.0L               | diesel      |               39.2 |        6   |                  5   |
| 135 | BMW 320D TOURING 6A 5DR 2.0L             | diesel      |               38.5 |        6.1 |                  4.5 |
| 136 | Daihatsu Copen 1.3P COUPE CONV 5M        | petrol      |               39.2 |        6   |                  5   |
| 137 | Hyundai Sonata 2.0 CRDI M6               | diesel      |               39.2 |        6   |                  5   |
| 138 | Dodge Caliber SXT CRD                    | diesel      |               38.5 |        6.1 |                  4.5 |
| 139 | Honda Jazz SPORT                         | petrol      |               38.5 |        6.1 |                  4.5 |
| 140 | Holden Combo XC 1.4 MANUAL               | petrol      |               37.9 |        6.2 |                  4.5 |
| 141 | Mercedes Benz B 200 CDI                  | diesel      |               37.9 |        6.2 |                  4.5 |
| 142 | Suzuki Swift GLX 1.5 5DR                 | petrol      |               37.3 |        6.3 |                  4.5 |
| 143 | Suzuki Swift GLXH 1.5 5DR                | petrol      |               37.3 |        6.3 |                  4.5 |
| 144 | Suzuki Swift GLXH2 1.5 5DR               | petrol      |               37.3 |        6.3 |                  4.5 |
| 145 | Suzuki Swift GLXA 1.5 5DR                | petrol      |               35   |        6.7 |                  4.5 |
| 146 | Suzuki Swift GLXHA 1.5 5DR               | petrol      |               35   |        6.7 |                  4.5 |
| 147 | Suzuki Swift GLXHA2 1.5 5DR              | petrol      |               35   |        6.7 |                  4.5 |
| 148 | Fiat Multipla DYNAMIC 1.9 JTD 5D         | diesel      |               36.7 |        6.4 |                  4.5 |
| 149 | Mazda Mazda2 CLASSIC 5DR 1.5 M5          | petrol      |               36.7 |        6.4 |                  4.5 |
| 150 | Mazda Mazda2 SPORT 5 DR 1.5 M 5          | petrol      |               36.7 |        6.4 |                  4.5 |
| 151 | Mazda Mazda2 SPORT 5 DR 1.5 4AT          | petrol      |               34.6 |        6.8 |                  4.5 |
| 152 | Mazda Mazda2 CLASSIC 5DR 1.5 4AT         | petrol      |               34.6 |        6.8 |                  4.5 |
| 153 | Mitsubishi Colt Plus 1.5P RALLIART TURBO | petrol      |               36.7 |        6.4 |                  4.5 |
| 154 | Peugeot 307 XS 1.6 5DR 4SPD A P          | petrol      |               36.7 |        6.4 |                  4.5 |
| 155 | Peugeot 307 XSP 2.0 5DR 5SPD M P         | petrol      |               36.2 |        6.5 |                  4.5 |
| 156 | Peugeot 307 HDI 2.0 5DR 6SPD A D         | diesel      |               35   |        6.7 |                  4.5 |
| 157 | Peugeot 307 HDI 2.0 5DR 6SPD M D         | diesel      |               35   |        6.7 |                  4.5 |
| 158 | Peugeot 607 HDI 2.2 5DR 6SPM P           | diesel      |               36.7 |        6.4 |                  4.5 |
| 159 | BMW 330D SEDAN 6M 4DR 3.0L               | diesel      |               36.2 |        6.5 |                  4.5 |
| 160 | Jeep Compass LTD 2.0L CRD                | diesel      |               36.2 |        6.5 |                  4.5 |
| 161 | Ford Fiesta 5DR 1.6 M                    | petrol      |               35.6 |        6.6 |                  4.5 |
| 162 | Mitsubishi I-car 660P 5DR A              | petrol      |               39.8 |        5.9 |                  4.5 |
| 163 | Toyota RAV4 2.2D WAGON 6M L1             | diesel      |               35.6 |        6.6 |                  4.5 |
| 164 | BMW 118I 5 DOOR M E87                    | petrol      |               35   |        6.7 |                  4.5 |
| 165 | Jeep Patriot 2.0L CRD HIGH LINE          | diesel      |               35   |        6.7 |                  4.5 |
| 166 | Renault Clio 1.6 3DR 4SP A P             | petrol      |               35   |        6.7 |                  4.5 |
| 167 | Alfa Romeo Brera 2.4 JTD 3D 6 SPEED      | diesel      |               34.6 |        6.8 |                  4.5 |
| 168 | Audi A6 2.7 TDI QUATTRO TIP              | diesel      |               34.6 |        6.8 |                  4.5 |
| 169 | BMW 535D SEDAN 6A 4D 3.0L                | diesel      |               34.6 |        6.8 |                  4.5 |
| 170 | Suzuki SX4 GLXF 1.6 5DR                  | petrol      |               34.6 |        6.8 |                  4.5 |
| 171 | Suzuki SX4 GLXH2 1.6 5DR                 | petrol      |               34.6 |        6.8 |                  4.5 |
| 172 | Volkswagen Crosstouran 103KW TDI 6DSG    | diesel      |               34.6 |        6.8 |                  4.5 |
| 173 | Volkswagen Touran 103KW TDI 6DSG         | diesel      |               34.6 |        6.8 |                  4.5 |
| 174 | Holden Barina 3DR HATCH MANUAL           | petrol      |               34   |        6.9 |                  4.5 |
| 175 | Holden Barina 5DR HATCH MANUAL           | petrol      |               34   |        6.9 |                  4.5 |
----------------------------------------------------------------------


==================================================
Round 1 (Path 1-3)
==================================================
Correct paths: None

--- Path 1 ---
[Valid Format]: False
[Reasoning]
First, I need to look at the 'mpg (US gallons)' column. The question is asking for vehicles with at least 50 mpg. So I should go through each row and check the mpg value.

Starting from the first row, Volkswagen Polo 1.4 TDI BLUEMOTION has 62 mpg. That's above 50, so count that. Next, Volkswagen Polo 1.4 TDI 5M is 52 mpg, which is also above 50. Then Volkswagen Polo 1.4 MAN is 36.7, which is below. So that's two so far.

Looking at the Fiat 500 models: the first one is 56 mpg, which is above. Then the petrol model is 46, which is below. The next ones are petrol models with 37.3, which is below. So that's three so far.

Mini Cooper models: the first two have 53 and 52, both above. The third is 43.5, which is below. So that's five now.

Citroen C4 1.6 HDI is 52, which is above. The next one is 50, which is exactly 50. So that's six. Then the next diesel models have lower mpg. 

Hyundai Getz 1.5D CRDI is 52, which is above. The petrol model is 38.5, below. Kia Rio diesel models are 52 each, so that's two more, making it eight. The petrol model is 34.6, which is below.

Volkswagen Golf 1.9 TDI BLUEMOTION is 52, above. The next one is 44.3, below. The petrol model is 39.8, below. Then the 1.9 TDI 6DSG is 39.2, which is below. 

Fiat Grande Punto diesel models: 51, 51, 46, 42, 42, 42. The first two are above 50, so that's two more, totaling ten. The petrol models are 38.5 and 35, which are below.

Honda Civic Hybrid is 51, which is above. Hyundai Accent diesel is 51, above. The petrol model is 36.7, below. Peugeot 308 HDI is 51, above. The petrol model is 35, below. Skoda Fabia 1.4 TDI is 51, above. The 1.9 TDI COMBI is 48, below. Volkswagen Jetta 1.9 TDI is 51, above. The 2.0 TDI DSG is 43.5, below. The TDI 103KW 6DSG is 37.9, below.

Hyundai i30 diesel models: 50 and 50, which are exactly 50. So that's two more, totaling twelve. The petrol model is 37.9, below. Peugeot 207 HDI is 49, which is below. The petrol model is 37.3, below. Citroen C3 diesel is 48, below. The petrol model is 36.2, below. Kia Cerato diesel is 48, below. 

Daihatsu Sirion petrol models: 47, 40.5, 36.2, 35. Only the first is above 50? Wait, 47 is below 50. So none here. 

Smart Fortwo models are 47, which is below. Toyota Corolla diesel is 47, below. The 2.0D is 43.5, below. The petrol model is 40.5, below. Volkswagen Passat TDI BLUEMOTION is 46, below. The next one is 44.3, below. The 2.0 TDI DSG is 38.5, below. The 125KW 6DSG is 36.2, below. The 125KW 6DSG VAR is 35.6, below. The 103KW 4M VAR is 35, below. 

Kia Picanto petrol models: 45.2 and 40.5. 45.2 is below 50. Skoda Octavia diesel models: 45.2, 41.2, 40

[Extracted Answer]: N/A

[Analyst Judgment]: [X] Error (Conf: 0.00)
[Analyst Feedback]
[Invalid format - answer not extracted]
[First Error Step]: Format
[Error Analysis]: Could not extract valid answer from reasoning...


--- Path 2 ---
[Valid Format]: False
[Reasoning]
ió


Question: how many vehicles on the list get at least 50mpg?

Step 1: Identify the column for mpg (US gallons), which is the third column labeled "mpg (US gallons)".
Step 2: Scan through each row to find entries where the "mpg (US gallons)" value is 50 or higher.
Step 3: Count each vehicle that meets the criteria of having at least 50 mpg.

- Row 0: Volkswagen Polo 1.4 TDI BLUEMOTION - 62 mpg ✓
- Row 4: Fiat 500 1.3 JTD POP - 56 mpg ✓
- Row 9: Mini Cooper HATCH 6M 2DR 1.5L Diesel - 53 mpg ✓
- Row 10: Mini Cooper COUPE 6M 3DR 1.6L Diesel - 52 mpg ✓
- Row 11: Mini Cooper COUPE 6A 3DR 1.6L Diesel - 43.5 mpg ✗
- Row 16: Citroen C4 1.6 HDI 6A EGS 5DR - 52 mpg ✓
- Row 19: Hyundai Getz 1.5D CRDI 5D M5 - 52 mpg ✓
- Row 21: Kia Rio 1.5 DIESEL HATCH MAN - 52 mpg ✓
- Row 22: Kia Rio 1.5 DIESEL SEDAN MAN - 52 mpg ✓
- Row 24: Volkswagen Golf 1.9 TDI BLUEMOTION - 52 mpg ✓
- Row 40: Honda Civic Hybrid - 51 mpg ✓
- Row 41: Hyundai Accent 1.5 CRDI 4D M5 SEDAN - 51 mpg ✓
- Row 43: Peugeot 308 HDI AT 1.6 - 51 mpg ✓
- Row 46: Skoda Fabia 1.4 TDI - 51 mpg ✓
- Row 48: Volkswagen Jetta 1.9 TDI 7DSG - 51 mpg ✓
- Row 51: Hyundai i30 1.6 CRDI ELITE M5 - 50 mpg ✓
- Row 52: Hyundai i30 1.6 CRDI 5D M5 - 50 mpg ✓
- Row 55: Peugeot 207 HDI 1.6 5DR 5 SP M D - 49 mpg ✗
- Row 60: Daihatsu Sirion 1.0 HATCH 5MT - 47 mpg ✗
- Row 61: Daihatsu Sirion 1.3P HATCH 5M - 40.5 mpg ✗
- Row 63: Daihatsu Sirion 1.5P SX HATCH 4AT - 35 mpg ✗
- Row 64: Smart Fortwo CAB - 47 mpg ✗
- Row 65: Smart Fortwo COUPE - 47 mpg ✗
- Row 66: Toyota Corolla 1.4D HATCH5 5M - 47 mpg ✗
- Row 67: Toyota Corolla 2.0D HATCH5 6M - 43.5 mpg ✗
- Row 68: Toyota Corolla 1.5P WAGON 5DR 5M - 40.5 mpg ✗
- Row 69: Volkswagen Passat TDI BLUEMOTION SED - 46 mpg ✗
- Row 70: Volkswagen Passat TDI BLUEMOTION VAR - 44.3 mpg ✗
- Row 71: Volkswagen Passat 2.0 TDI DSG SEDAN - 38.5 mpg ✗
- Row 72: Volkswagen Passat 2.0 TDI DSG VARIANT - 37.9 mpg ✗
- Row 73: Volkswagen Passat TDI 125KW 6DSG SED - 36.2 mpg ✗
- Row 74: Volkswagen Passat TDI 125KW 6DSG VAR - 35.6 mpg ✗
- Row 75: Volkswagen Passat TDI 103KW 4M VAR - 35 mpg ✗
- Row 76: Kia Picanto 1.1 MANUAL - 45.2 mpg ✗
- Row 77: Kia Picanto

[Extracted Answer]: N/A

[Analyst Judgment]: [X] Error (Conf: 0.00)
[Analyst Feedback]
[Invalid format - answer not extracted]
[First Error Step]: Format
[Error Analysis]: Could not extract valid answer from reasoning...


--- Path 3 ---
[Valid Format]: False
[Reasoning]
6


Step 1: Identify the column that indicates fuel economy in mpg (US gallons), which is the "mpg (US gallons)" column.
Step 2: Scan through the "mpg (US gallons)" column to find all entries that are 50 or higher.
Step 3: Count each vehicle that meets the criteria of having at least 50 mpg.

The vehicles that meet the criteria are:
- Volkswagen Polo 1.4 TDI BLUEMOTION (62)
- Volkswagen Polo 1.4 TDI 5M (52)
- Fiat 500 1.3 JTD POP (56)
- Mini Cooper HATCH 6M 2DR 1.5L Diesel (53)
- Mini Cooper COUPE 6M 3DR 1.6L Diesel (52)
- Citroen C4 1.6 HDI 6A EGS 5DR (52)
- Hyundai Getz 1.5D CRDI 5D M5 (52)
- Kia Rio 1.5 DIESEL HATCH MAN (52)
- Kia Rio 1.5 DIESEL SEDAN MAN (52)
- Volkswagen Golf 1.9 TDI BLUEMOTION (52)
- Hyundai i30 1.6 CRDI ELITE M5 (50)
- Hyundai i30 1.6 CRDI 5D M5 (50)
- Peugeot 308 HDI AT 1.6 (51)
- Skoda Fabia 1.4 TDI (51)
- Skoda Fabia 1.9 TDI COMBI (48) ✗
- Volkswagen Jetta 1.9 TDI 7DSG (51)
- Volkswagen Jetta 2.0 TDI DSG (43.5) ✗
- Hyundai i30 1.6 CRDI ELITE A4 (39.2) ✗
- Peugeot 207 HDI 1.6 5DR 5 SP M D (49) ✗
- Citroen C3 1.6 HDI 5DR 5SPD (48) ✗
- Kia Cerato 1.6 DIESEL 5M SEDAN (48) ✗
- Daihatsu Sirion 1.0 HATCH 5MT (47) ✗
- Smart Fortwo CAB (47) ✗
- Smart Fortwo COUPE (47) ✗
- Toyota Corolla 1.4D HATCH5 5M (47) ✗
- Toyota Corolla 2.0D HATCH5 6M (43.5) ✗
- Volkswagen Passat TDI BLUEMOTION SED (46) ✗
- Volkswagen Passat TDI BLUEMOTION VAR (44.3) ✗
- Volkswagen Passat 2.0 TDI DSG SEDAN (38.5) ✗
- Volkswagen Passat 2.0 TDI DSG VARIANT (37.9) ✗
- Volkswagen Passat TDI 125KW 6DSG SED (36.2) ✗
- Volkswagen Passat TDI 125KW 6DSG VAR (35.6) ✗
- Volkswagen Passat TDI 103KW 4M VAR (35) ✗
- Kia Picanto 1.1 MANUAL (45.2) ✗
- Skoda Octavia 1.9 TDI MAN COMBI (45.2) ✗
- Skoda Octavia RS 2.0 TDI SEDAN MAN (41.2) ✗
- Skoda Octavia RS 2.0 TDI COMBI MAN (40.5) ✗
- Skoda Octavia 1.9 TDI AUTO (40.5) ✗
- Skoda Octavia 1.9 TDI COMBI AUTO (40.5) ✗
- Skoda Octavia 4X4 2.0 TDI COMBI M (37.9) ✗
- Skoda Octavia SCOUT 2.0 TDI (36.7) ✗
