======================================================================
3-Round + Parallel Analysis (思考模式版本) - Question #217
======================================================================

Base Thinking Mode: True
Analyst Thinking Mode: True

Title: List of hospitals in North Carolina
Question: which city has the most hospitals?
Expected Answer: ['Charlotte']

----------------------------------------------------------------------
Table:
|     | Name                                                        | City                      |   Hospital beds |   Operating rooms |   Total | Trauma designation   | Affiliation   | Notes                                                                                       |
|  51 | Frye Regional Medical Center                                | Hickory                   |             355 |                23 |     378 | -                    | Tenet         | -                                                                                           |
|  52 | Gaston Memorial Hospital                                    | Gastonia                  |             435 |                30 |     465 | -                    | -             | -                                                                                           |
|  53 | Grace Hospital                                              | Morganton                 |             184 |                 7 |     191 | -                    | CHS           | -                                                                                           |
|  54 | Granville Health System                                     | Oxford                    |             142 |                 4 |     146 | -                    | -             | -                                                                                           |
|  55 | Halifax Regional Medical Center                             | Roanoke Rapids            |             204 |                 7 |     211 | -                    | -             | -                                                                                           |
|  56 | Harris Regional Hospital                                    | Sylva                     |              86 |                 7 |      93 | -                    | -             | -                                                                                           |
|  57 | Haywood Regional Medical Center                             | Clyde                     |             189 |                10 |     199 | -                    | -             | -                                                                                           |
|  58 | Vidant Edgecombe Hospital                                   | Tarboro                   |             117 |                 8 |     125 | -                    | Vidant        | -                                                                                           |
|  59 | High Point Regional Health System                           | High Point                |             384 |                15 |     399 | Level III            | UNC           | -                                                                                           |
|  60 | Highlands-Cashiers Hospital                                 | Highlands                 |             108 |                 4 |     112 | -                    | Mission       | -                                                                                           |
|  61 | Highsmith-Rainey Specialty Hospital                         | Fayetteville              |              66 |                 7 |      73 | -                    | Cape Fear     | -                                                                                           |
|  62 | Hoots Memorial Hospital                                     | Yadkinville               |              22 |                 3 |      25 | -                    | -             | -                                                                                           |
|  63 | Hugh Chatham Memorial Hospital                              | Elkin                     |             220 |                 8 |     228 | -                    | QHR           | -                                                                                           |
|  64 | Iredell Memorial Hospital                                   | Statesville               |             247 |                14 |     261 | -                    | -             | -                                                                                           |
|  65 | J. Arthur Dosher Memorial Hospital                          | Southport                 |             100 |                 4 |     104 | -                    | -             | -                                                                                           |
|  66 | Johnston Health                                             | Smithfield                |             177 |                10 |     187 | -                    | UNC           | -                                                                                           |
|  67 | Novant Health Kernersville Medical Center                   | Kernersville              |              50 |                 4 |      54 | -                    | Novant        | -                                                                                           |
|  68 | Kindred Hospital - Greensboro                               | Greensboro                |             124 |                 1 |     125 | -                    | -             | -                                                                                           |
|  69 | Kings Mountain Hospital                                     | Kings Mountain            |             102 |                 3 |     105 | -                    | CHS           | -                                                                                           |
|  70 | Lake Norman Regional Medical Center                         | Mooresville               |             123 |                11 |     134 | -                    | HMA           | -                                                                                           |
|  71 | Lenoir Memorial Hospital                                    | Kinston                   |             261 |                12 |     273 | -                    | -             | -                                                                                           |
|  72 | Lexington Memorial Hospital                                 | Lexington                 |              94 |                 6 |     100 | -                    | WFU           | -                                                                                           |
|  73 | LifeCare Hospitals of North Carolina                        | Rocky Mount               |              50 |                 0 |      50 | -                    | -             | -                                                                                           |
|  74 | Margaret R. Pardee Memorial Hospital                        | Hendersonville            |             222 |                13 |     235 | -                    | UNC           | -                                                                                           |
|  75 | Maria Parham Medical Center                                 | Henderson                 |             102 |                 7 |     109 | -                    | DukeLP        | -                                                                                           |
|  76 | Martin General Hospital                                     | Williamston               |              49 |                 3 |      52 | -                    | -             | -                                                                                           |
|  77 | Novant Health Medical Park Hospital                         | Winston-Salem             |              22 |                13 |      35 | -                    | Novant        | -                                                                                           |
|  78 | Memorial Mission Hospital and Asheville Surgery Center      | Asheville                 |             730 |                36 |     766 | Level II             | Mission       | -                                                                                           |
|  79 | Morehead Memorial Hospital                                  | Eden                      |             229 |                 8 |     237 | -                    | QHR           | -                                                                                           |
|  80 | Murphy Medical Center                                       | Murphy                    |             191 |                 6 |     197 | -                    | CHS           | -                                                                                           |
|  81 | Nash General Hospital                                       | Rocky Mount               |             353 |                18 |     371 | -                    | Nash          | -                                                                                           |
|  82 | New Hanover Regional Medical Center                         | Wilmington                |             769 |                37 |     806 | Level II             | NHRMC         | -                                                                                           |
|  83 | North Carolina Specialty Hospital                           | Durham                    |              18 |                 4 |      22 | -                    | -             | -                                                                                           |
|  84 | Northern Hospital of Surry County                           | Mount Airy                |             133 |                 7 |     140 | -                    | QHR           | -                                                                                           |
|  85 | Onslow Memorial Hospital                                    | Jacksonville              |             162 |                13 |     175 | -                    | -             | -                                                                                           |
|  86 | Our Community Hospital                                      | Scotland Neck             |             100 |                 0 |     100 | -                    | -             | -                                                                                           |
|  87 | Park Ridge Health                                           | Hendersonville            |             103 |                 7 |     110 | -                    | -             | -                                                                                           |
|  88 | Pender Memorial Hospital                                    | Burgaw                    |              86 |                 3 |      89 | -                    | NHRMC         | -                                                                                           |
|  89 | Person Memorial Hospital                                    | Roxboro                   |             110 |                 5 |     115 | -                    | DukeLP        | -                                                                                           |
|  90 | Novant Health Presbyterian Medical Center                   | Charlotte                 |             531 |                43 |     574 | -                    | Novant        | -                                                                                           |
|  91 | Novant Health Huntersville Medical Center                   | Huntersville              |              60 |                 8 |      68 | -                    | Novant        | -                                                                                           |
|  92 | Novant Health Matthews Medical Center                       | Matthews                  |             102 |                14 |     116 | -                    | Novant        | -                                                                                           |
|  93 | Novant Health Charlotte Orthopaedic Hospital                | Charlotte                 |             156 |                12 |     168 | -                    | Novant        | -                                                                                           |
|  94 | Vidant Pungo Hospital                                       | Belhaven                  |              49 |                 2 |      51 | -                    | Vidant        | -                                                                                           |
|  95 | Randolph Hospital                                           | Asheboro                  |             145 |                 8 |     153 | -                    | -             | -                                                                                           |
|  96 | Rex Healthcare                                              | Raleigh                   |             665 |                38 |     703 | -                    | UNC           | -                                                                                           |
|  97 | Vidant Roanoke-Chowan Hospital                              | Ahoskie                   |             114 |                 7 |     121 | -                    | Vidant        | -                                                                                           |
|  98 | Novant Health Rowan Medical Center                          | Salisbury                 |             268 |                17 |     285 | -                    | Novant        | -                                                                                           |
|  99 | Rutherford Regional Medical Center                          | Rutherfordton             |             143 |                 7 |     150 | -                    | -             | -                                                                                           |
| 100 | Sampson Regional Medical Center                             | Clinton                   |             146 |                 8 |     154 | -                    | -             | -                                                                                           |
| 101 | Sandhills Regional Medical Center                           | Hamlet                    |              64 |                 5 |      69 | -                    | HMA           | -                                                                                           |
| 102 | Scotland Memorial Hospital and Edwin Morgan Center          | Laurinburg                |             154 |                 8 |     162 | -                    | CHS           | -                                                                                           |
| 103 | Select Specialty Hospital - Durham                          | Durham                    |              30 |                 0 |      30 | -                    | -             | -                                                                                           |
| 104 | Select Specialty Hospital - Winston-Salem                   | Winston-Salem             |              42 |                 0 |      42 | -                    | -             | -                                                                                           |
| 105 | Select Specialty Hospital-Greensboro                        | Greensboro                |              30 |                 0 |      30 | -                    | -             | -                                                                                           |
| 106 | Southeastern Regional Medical Center                        | Lumberton                 |             452 |                15 |     467 | -                    | -             | -                                                                                           |
| 107 | St. Luke's Hospital                                         | Columbus                  |              55 |                 3 |      58 | -                    | CHS           | -                                                                                           |
| 108 | Stanly Regional Medical Center                              | Albemarle                 |             119 |                 8 |     127 | -                    | CHS           | -                                                                                           |
| 109 | Stokes-Reynolds Memorial Hospital                           | Danbury                   |              93 |                 5 |      98 | -                    | -             | -                                                                                           |
| 110 | Swain County Hospital                                       | Bryson City               |              48 |                 2 |      50 | -                    | -             | -                                                                                           |
| 111 | The McDowell Hospital                                       | Marion                    |              65 |                 4 |      69 | -                    | Mission       | -                                                                                           |
| 112 | The Outer Banks Hospital                                    | Nags Head                 |              21 |                 5 |      26 | -                    | Vidant        | -                                                                                           |
| 113 | Thomasville Medical Center                                  | Thomasville               |             149 |                 7 |     156 | -                    | Novant        | -                                                                                           |
| 114 | Transylvania Regional Hospital                              | Brevard                   |              92 |                 6 |      98 | -                    | Mission       | -                                                                                           |
| 115 | University of North Carolina Hospitals                      | Chapel Hill               |             778 |                48 |     826 | Level I              | UNC           | Primary teaching hospital of University of North Carolina at Chapel Hill School of Medicine |
| 116 | Valdese General Hospital                                    | Valdese                   |             131 |                 6 |     137 | -                    | CHS           | -                                                                                           |
| 117 | Vidant Medical Center                                       | Greenville                |             861 |                35 |     896 | Level I              | Vidant        | Primary teaching hospital of East Carolina University Brody School of Medicine              |
| 118 | Wake Forest Baptist Medical Center                          | Winston-Salem             |             885 |                50 |     935 | Level I              | WFU           | Primary teaching hospital of Wake Forest School of Medicine                                 |
| 119 | WakeMed                                                     | Raleigh                   |             618 |                35 |     653 | Level I              | WakeMed       | -                                                                                           |
| 120 | WakeMed Cary Hospital                                       | Cary                      |             192 |                15 |     207 | -                    | WakeMed       | -                                                                                           |
| 121 | Washington County Hospital                                  | Plymouth                  |              49 |                 2 |      51 | -                    | -             | -                                                                                           |
| 122 | Watauga Medical Center                                      | Boone                     |             117 |                 9 |     126 | -                    | ARHS          | -                                                                                           |
| 123 | Wayne Memorial Hospital                                     | Goldsboro                 |             316 |                15 |     331 | -                    | -             | -                                                                                           |
| 124 | Wilkes Regional Medical Center                              | North Wilkesboro          |             144 |                 9 |     153 | -                    | CHS           | -                                                                                           |
| 125 | Wilson Medical Center                                       | Wilson                    |             294 |                15 |     309 | -                    | -             | -                                                                                           |
----------------------------------------------------------------------


==================================================
Round 1 (Path 1-3)
==================================================
[OK] All correct with same answer

--- Path 1 ---
[Reasoning]
<think>
Okay, so I need to figure out which city in North Carolina has the most hospitals based on the provided table. Let me start by understanding the problem.

First, the table lists various hospitals across different cities. Each row represents a hospital with details like name, city, number of beds, operating rooms, etc. The task is to determine which city has the highest count of these hospitals.

Alright, my first step should be to go through each entry in the 'City' column and tally how many hospitals are located in each city. Since there are over 125 entries, doing this manually would be time-consuming and error-prone, but since it's a small dataset, maybe manageable.

Let me start by listing all the cities mentioned. I'll scan through each row and note down the cities. Then, I can count the occurrences of each city.

Looking at the first few rows:
- Burlington (Alamance Regional Medical Center)
- Elizabeth City (Albemarle Hospital)
- Hickory (Alexander Hospital)
- Sparta (Alleghany Memorial Hospital)
- Franklin (Angel Medical Center)
- Reidsville (Annie Penn Hospital)
- Wadesboro (Anson Community Hospital)
- Jefferson (Ashe Memorial Hospital)
- Asheville (Asheville Specialty Hospital)
- Washington (Vidant Beaufort Hospital)
- Windsor (Vidant Bertie Hospital)
- Dunn (Betsy Johnson Regional Hospital)
- Blowing Rock (Blowing Rock Hospital)
- Spruce Pine (Blue Ridge Regional Hospital)
- Supply (Novant Health Brunswick Medical Center)
- Lenoir (Caldwell Memorial Hospital)
- Fayetteville (Cape Fear Valley Medical Center)
- Elizabethtown (Cape Fear Valley-Bladen County Hospital)
- Asheville (CarePartners Rehabilitation Hospital)
- New Bern (CarolinaEast Medical Center)
- Charlotte (Carolinas Medical Center-Pineville)
- Lincolnton (Carolinas Medical Center-Lincoln)
- Concord (Carolinas Medical Center-NorthEast)
- Monroe (Carolinas Medical Center-Union)
- Charlotte (Carolinas Medical Center-University)
- Charlotte (Carolinas Medical Center/Center for Mental Health)
- Charlotte (Carolinas Rehabilitation)
- Belmont (Carolinas Rehabilitation Mt. Holly)
- Charlotte (Carolinas Specialty Hospital)
- Morehead City (Carteret General Hospital)
- Hickory (Catawba Valley Medical Center)
- Sanford (Central Carolina Hospital)
- Linville (Charles A. Cannon, Jr. Memorial Hospital)
- Siler City (Chatham Hospital)
- Edenton (Vidant Chowan Hospital)
- Shelby (Cleveland Regional Medical Center)
- Whiteville (Columbus Regional Healthcare System)
- Greensboro (Cone Health)
- Boiling Springs (Crawley Memorial Hospital)
- Mocksville (Davie County Hospital)
- Statesville (Davis Regional Medical Center)
- Raleigh (Duke Health Raleigh Hospital)
- Durham (Duke University Hospital)
- Kenansville (Vidant Duplin Hospital)
- Durham (Durham Regional Hospital)
- Troy (FirstHealth Montgomery Memorial Hospital)
- Pinehurst (FirstHealth Moore Regional Hospital and Pinehurst Treatment)
- Pinehurst, North Carolina (FirstHealth Moore Regional Hospital Hoke Campus)
- Rockingham (FirstHealth Richmond Memorial Hospital)
- Winston-Salem (Novant Health Forsyth Medical Center)
- Louisburg (Novant Health Franklin Regional Medical Center)
- Hickory (Frye Regional Medical Center)
- Gastonia (Gaston Memorial Hospital)
- Morganton (Grace Hospital)
- Oxford (Granville Health System)
- Roanoke Rapids (Halifax Regional Medical Center)
- Sylva (Harris Regional Hospital)
- Clyde (Haywood Regional Medical Center)
- Tarboro (Vidant Edgecombe Hospital)
- High Point (High Point Regional Health System)
- Highlands (Highlands-Cashiers Hospital)
- Fayetteville (Highsmith-Rainey Specialty Hospital)
- Yadkinville (Hoots Memorial Hospital)
- Elkin (Hugh Chatham Memorial Hospital)
- Statesville (Iredell Memorial Hospital)
- Southport (J. Arthur Dosher Memorial Hospital)
- Smithfield (Johnston Health)
- Kernersville (Novant Health Kernersville Medical Center)
- Greensboro (Kindred Hospital - Greensboro)
- Kings Mountain (Kings Mountain Hospital)
- Mooresville (Lake Norman Regional Medical Center)
- Kinston (Lenoir Memorial Hospital)
- Lexington (Lexington Memorial Hospital)
- Rocky Mount (LifeCare Hospitals of North Carolina)
- Hendersonville (Margaret R. Pardee Memorial Hospital)
- Henderson (Maria Parham Medical Center)
- Williamston (Martin General Hospital)
- Winston-Salem (Novant Health Medical Park Hospital)
- Asheville (Memorial Mission Hospital and Asheville Surgery Center)
- Eden (Morehead Memorial Hospital)
- Murphy (Murphy Medical Center)
- Rocky Mount (Nash General Hospital)
- Wilmington (New Hanover Regional Medical Center)
- Durham (North Carolina Specialty Hospital)
- Mount Airy (Northern Hospital of Surry County)
- Jacksonville (Onslow Memorial Hospital)
- Scotland Neck (Our Community Hospital)
- Hendersonville (Park Ridge Health)
- Burgaw (Pender Memorial Hospital)
- Roxboro (Person Memorial Hospital)
- Charlotte (Novant Health Presbyterian Medical Center)
- Huntersville (Novant Health Huntersville Medical Center)
- Matthews (Novant Health Matthews Medical Center)
- Charlotte (Novant Health Charlotte Orthopaedic Hospital)
- Belhaven (Vidant Pungo Hospital)
- Asheboro (Randolph Hospital)
- Raleigh (Rex Healthcare)
- Ahoskie (Vidant Roanoke-Chowan Hospital)
- Salisbury (Novant Health Rowan Medical Center)
- Rutherfordton (Rutherford Regional Medical Center)
- Clinton (Sampson Regional Medical Center)
- Hamlet (Sandhills Regional Medical Center)
- Laurinburg (Scotland Memorial Hospital and Edwin Morgan Center)
- Durham (Select Specialty Hospital - Durham)
- Winston-Salem (Select Specialty Hospital - Winston-Salem)
- Greensboro (Select Specialty Hospital-Greensboro)
- Lumberton (Southeastern Regional Medical Center)
- Columbus (St. Luke's Hospital)
- Albemarle (Stanly Regional Medical Center)
- Danbury (Stokes-Reynolds Memorial Hospital)
- Bryson City (Swain County Hospital)
- Marion (The McDowell Hospital)
- Nags Head (The Outer Banks Hospital)
- Thomasville (Thomasville Medical Center)
- Brevard (Transylvania Regional Hospital)
- Chapel Hill (University of North Carolina Hospitals)
- Valdese (Valdese General Hospital)
- Greenville (Vidant Medical Center)
- Winston-Salem (Wake Forest Baptist Medical Center)
- Raleigh (WakeMed)
- Cary (WakeMed Cary Hospital)
- Plymouth (Washington County Hospital)
- Boone (Watauga Medical Center)
- Goldsboro (Wayne Memorial Hospital)
- North Wilkesboro (Wilkes Regional Medical Center)
- Wilson (Wilson Medical Center)

Now that I have listed all the cities, I need to count how many times each appears. Let's group them:

Starting with Charlotte: 

Looking through the list, Charlotte appears multiple times. Let's check each occurrence:

Row 20: Carolinas Medical Center-Pineville → Charlotte
Row 21: Carolinas Medical Center-Lincoln → Lincolnnton
Wait, no, row 20 says Charlotte. Then row 22: Carolinas Medical Center-NorthEast → Concord
Row 23: Carolinas Medical Center-Union → Monroe
Row 24: Carolinas Medical Center-University → Charlotte
Row 25: Carolinas Medical Center/Center for Mental Health → Charlotte
Row 26: Carolinas Rehabilitation → Charlotte
Row 27: Carolinas Rehabilitation Mt. Holly → Belmont
Row 28: Carolinas Specialty Hospital → Charlotte
Row 50: Novant Health Franklin Regional Medical Center → Louisburg
Wait, perhaps I made a mistake here. Wait, let me re-express this properly.

Actually, when scanning, I noticed several entries under Charlotte:

- Carolinas Medical Center-Pineville (row 20) → Charlotte
- Carolinas Medical Center-University (row 24) → Charlotte
- Carolinas Medical Center/Center for Mental Health (row 25) → Charlotte
- Carolinas Rehabilitation (row 26) → Charlotte
- Carolinas Specialty Hospital (row 28) → Charlotte
- Novant Health Presbyterian Medical Center (row 90) → Charlotte
- Novant Health Matthews Medical Center (row 92) → Matthews (but wait, the city here is Charlotte? Wait row 92: Novant Health Matthews Medical Center → city is Matthews. So that may be a separate entry.
Wait, I need to be precise.

Let me recount carefully:

Each row's city is:

Row 20: Charlotte
Row 24: Charlotte
Row 25: Charlotte
Row 26: Charlotte
Row 28: Charlotte
Row 90: Charlotte
Row 92: Matthews
Row 93: Charlotte

So Charlotte occurs in rows 20,24,25,26,28,90,93 → total of 7 instances?

Wait, also checking other entries where city might be Charlotte. Let me make sure.

Also, looking for other mentions of Charlotte. There's:

Row 20: Carolinas Medical Center-Pineville → Charlotte
Row 24: Carolinas Medical Center-University → Charlotte
Row 25: Carolinas Medical Center/Center for Mental Health → Charlotte
Row 26: Carolinas Rehabilitation → Charlotte
Row 28: Carolinas Specialty Hospital → Charlotte
Row 90: Novant Health Presbyterian Medical Center → Charlotte
Row 93: Novant Health Charlotte Orthopaedic Hospital → Charlotte
That makes seven entries in Charlotte.

Another possible candidate could be Winston-Salem. Checking:

Row 9: Asheville Specialty Hospital → Asheville
Row 17: Cape Fear Valley Medical Center → Fayetteville
Row 21: Carolinas Medical Center-Lincoln → Lincolnton
Row 22: Carolinas Medical Center-NorthEast → Concord
Row 23: Carolinas Medical Center-Union → Monroe
Row 24: Carolinas Medical Center-University → Charlotte
Row 25: Carolinas Medical Center/Center for Mental Health → Charlotte
Row 26: Carolinas Rehabilitation → Charlotte
Row 28: Carolinas Specialty Hospital → Charlotte
Row 37: Cone Health → Greensboro
Row 67: Novant Health Kernersville Medical Center → Kernersville
Row 72: Lexington Memorial Hospital → Lexington
Row 73: LifeCare Hospitals of North Carolina → Rocky Mount
Row 90: Novant Health Presbyterian Medical Center → Charlotte
Row 92: Novant Health Matthews Medical Center → Matthews
Row 93: Novant Health Charlotte Orthopaedic Hospital → Charlotte
Row 108: Stanly Regional Medical Center → Albemarle
Row 109: Stokes-Reynolds Memorial Hospital → Danbury
Row 111: The McDowell Hospital → Marion
Row 113: Thomasville Medical Center → Thomasville
Row 114: Transylvania Regional Hospital → Brevard
Row 115: University of North Carolina Hospitals → Chapel Hill
Row 116: Valdese General Hospital → Valdese
Row 117: Vidant Medical Center → Greenville
Row 118: Wake Forest Baptist Medical Center → Winston-Salem
Row 119: WakeMed → Raleigh
Row 120: WakeMed Cary Hospital → Cary
Row 123: Wayne Memorial Hospital → Goldsboro
Row 124: Wilkes Regional Medical Center → North Wilkesboro
Row 125: Wilson Medical Center → Wilson

So Winston-Salem is only listed once in row 118 (Wake Forest Baptist Medical Center). But I need to check for other entries with Winston-Salem as the city.

Looking back, row 118 is Wake Forest Baptist Medical Center in Winston-Salem. Also, another entry in row 92: Novant Health Matthews Medical Center in Matthews, and another in row 90: Charlotte again.

Wait, earlier, I had counted 7 entries for Charlotte. Are there more? Let me check again:

Rows with Charlotte as the city:

20: Carolinas Medical Center-Pineville → Charlotte
24: Carolinas Medical Center-University → Charlotte
25: Carolinas Medical Center/Center for Mental Health → Charlotte
26: Carolinas Rehabilitation → Charlotte
28: Carolinas Specialty Hospital → Charlotte
90: Novant Health Presbyterian Medical Center → Charlotte
93: Novant Health Charlotte Orthopaedic Hospital → Charlotte

Total of 7 entries.

Is there any other city with more than 7 entries?

Looking for other cities. Let's see:

For example, Asheville appears in row 8 (Asheville Specialty Hospital), row 78 (Memorial Mission Hospital and Asheville Surgery Center), and possibly others? Let me check.

Row 8: Asheville Specialty Hospital → Asheville
Row 78: Memorial Mission Hospital and Asheville Surgery Center → Asheville
Are there others? Let me check other rows. For example, row 11: Betsy Johnson Regional Hospital → Dunn; row 30: Catawba Valley Medical Center → Hickory. Hmm. Maybe Asheville has two entries. Not enough.

Check for other cities with high counts. How about Greensboro? 

Row 37: Cone Health → Greensboro
Row 68: Kindred Hospital - Greensboro → Greensboro
So two entries. That's less than 7.

What about Durham? 

Row 45: FirstHealth Montgomery Memorial Hospital → Troy
Row 43: Vidant Duplin Hospital → Kenansville
Row 44: Durham Regional Hospital → Durham
Row 119: WakeMed → Raleigh
Row 120: WakeMed Cary Hospital → Cary
Row 117: Vidant Medical Center → Greenville
Row 67: Novant Health Kernersville Medical Center → Kernersville
Row 42: Duke University Hospital → Durham
Row 82: New Hanover Regional Medical Center → Wilmington
Row 85: Onslow Memorial Hospital → Jacksonville
Row 115: University of North Carolina Hospitals → Chapel Hill
Row 118: Wake Forest Baptist Medical Center → Winston-Salem
Row 119: WakeMed → Raleigh
Row 120: WakeMed Cary Hospital → Cary
Row 122: Watauga Medical Center → Boone
Row 125: Wilson Medical Center → Wilson

