======================================================================
3-Round + Parallel Analysis (思考模式版本) - Question #351
======================================================================

Base Thinking Mode: True
Analyst Thinking Mode: True

Title: List of Metrobus routes (Washington, D.C.)
Question: tell me the number of lines that stop at the naylor road station.
Expected Answer: ['3']

----------------------------------------------------------------------
Table:
|    | Route                         | Name                                        | Fare Type    | Terminals                                                                                                                            | Terminals .1                                                                                                             | Major streets                                                                                                                                              | Notes                                                                                                                                                                                                                                                                                                           | History                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  9 | 70                            | Georgia Avenue-7th Street Line              | Local        | Silver Spring station*                                                                                                               | Archives station                                                                                                         | Georgia Avenue NW\n7th Street NW                                                                                                                           | Silver Spring terminus is located on Wayne Avenue until completion of the Paul S. Sarbanes Transit Center.                                                                                                                                                                                                      | See Seventh Street Line\nStarting September 23, 2011, 71 service was discontinued, and the 70 was shortened to Archives. For service to Southwest Waterfront, see route directly below this one.                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 10 | 74                            | Convention Center-Southwest Waterfront Line | Local        | Mount Vernon Square (K & 6th Streets NW)                                                                                             | Half & O Streets SW, or Buzzard Point (2nd & V Streets SW)                                                               | 7th Street NW/SW                                                                                                                                           | Serves Buzzard Point during rush hour only                                                                                                                                                                                                                                                                      | Introduced September 24, 2011 as a replacement of DC Circulator's discontinued Convention Center-Southwest Waterfront route, and to also serve the southern portion of the 70 and 71 routes.                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 11 | 79                            | Georgia Avenue Metro Extra Line             | Limited Stop | Silver Spring station*                                                                                                               | Archives station                                                                                                         | Georgia Avenue NW, 7th Street NW (to Silver Spring), 9th Street NW (to Archives)                                                                           | limited-stop service\nSilver Spring terminus is located on Wayne Avenue until completion of the Paul S. Sarbanes Transit Center                                                                                                                                                                                 | 79 is a "reincarnation" of the old 73 (Brightwood Express Line) that was discontinued roughly a decade before the 79's introduction in 2006.\nSaturday service began on March 24, 2013.\nSunday service began on December 29, 2013.                                                                                                                                                                                                                                                                                                                                                                                          |
| 12 | 80                            | North Capitol Street Line                   | Local        | Fort Totten station                                                                                                                  | Kennedy Center                                                                                                           | 12th Street NE\nMichigan Avenue NE\nNorth Capitol Street\nH Street NW\nK Street NW                                                                         | some peak hour and early AM/late night trips terminate at McPherson Square station                                                                                                                                                                                                                              | 80 operates on the old North Capitol Street Streetcar Line, which operated from Washington Circle to Brookland until 1958\nIt operated to Potomac Park until it replaced the portion of the old Route 81 south of Pennsylvania Avenue NW to Kennedy Center after it was discontinued in the mid-1990s                                                                                                                                                                                                                                                                                                                        |
| 13 | 90, 92, 93                    | U Street-Garfield Line                      | Local*       | Duke Ellington Bridge or Frank D. Reeves Center (14th & U Streets NW)                                                                | 90 Anacostia station\n92 Congress Heights station\n93 Congress Heights station                                           | Calvert Street NW\nU Street NW, Florida Avenue NW/NE\n8th Street NE\nGood Hope Road SE (92)\nStanton Road SE (93)                                          | 93: operates when Metrorail is not open, replacing the 90 & 94\nFare: $1 (90 only, south of the 11th Street Bridge, unless transferring to another bus)                                                                                                                                                         | 90 replaced all portions of the 94 north of Anacostia station which became the 94's northern terminal after it opened in 1991; 90, 92, and 93 served McLean Gardens from the mid-1990s to the mid-2000s until replaced by the 96.\nAlso see U Street Line, New Jersey Avenue Line and Florida Avenue Line                                                                                                                                                                                                                                                                                                                    |
| 14 | 94                            | Stanton Road Line                           | Local*       | Stanton Road (19th & Savannah Streets SE)                                                                                            | Anacostia station                                                                                                        | Stanton Road SE                                                                                                                                            | replaced by 93 (U Street-Garfield Line) when not in operation\nFare: $1 (unless transferring to another bus)                                                                                                                                                                                                    | 94 used to operate to Duke Ellington Bridge (as part of the U Street-Garfield Line) until Anacostia station opened in 1991; replaced by the 90 north of Anacostia since then.                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 15 | 96, 97                        | East Capitol Street-Cardozo Line            | Local        | Capitol Heights station                                                                                                              | 96 Tenleytown-AU station\n97 Union Station                                                                               | East Capitol Street\nNew Jersey Avenue NW (96)\nU Street NW (96)\n29th Street NW (96)                                                                      | 96 operates between Stadium-Armory and Tenleytown-AU stations when the 97 operates during the weekday peak hours only\n97 skips DC General Health Campus.                                                                                                                                                       | Formerly known as the New Jersey Avenue Line\n96 & 97 replaced the old Routes 40 & 44 east of Union Station in the mid-1990s.\n96 extended from Duke Ellington Bridge to McLean Gardens in the mid-2000s, replacing the northwestern portion of the 90, 92, and 93.\n96 was extended to Tenleytown-AU station December 30, 2012.                                                                                                                                                                                                                                                                                             |
| 16 | A2, A6, A7, A8, A42, A46, A48 | Anacostia-Congress Heights Line             | Local*       | Southern Avenue station (A2, A42)\nLivingston Rd & 3rd Street SE (A6, A8, A46, A48)\nSouthern Avenue & South Capitol Street, SE (A7) | Anacostia Station (A2, A6, A7, A8)\nArchives station (10th St & Pennsylvania Av NW) (A42, A46, A48)                      | Martin Luther King Avenue SE, Mississippi Av SE (A2, A42)\nWheeler Road SE (A6, A7, A46)\nSouth Capitol Street (A8, A48)                                   | A7: weekday peak hour service only (AM to Anacostia, PM to Livingston Road)\nA42, A46 and A48 operate when Metrorail is closed, replacing A2, A6, A8 (respectively) and P2*Fare: $1 (unless transferring to another bus; A42, A46, A48: south of 11th Street Bridge)                                            | Formerly known as the Anacostia Line (along with A4 & A5) until 1991\nA7 operated to L'Enfant Plaza station until Anacostia opened in 1991\nA42, A46 and A48 replaced the old portions of the A2, A6 and A8 north of Anacostia station to Archives when Anacostia opened                                                                                                                                                                                                                                                                                                                                                     |
| 17 | A4, W5                        | Anacostia-Fort Drum Line                    | Local*       | D.C. Village (North Parking Lot)                                                                                                     | Anacostia station\nSt. Elizabeth's Gate 4 (Coast Guard HQ)                                                               | Martin Luther King Avenue SE\nSouth Capitol Street                                                                                                         | W5: weekday peak hour service only (AM to DC Village, PM to Anacostia via the Blue Plains Facility)\nFare: $1 (unless transferring to another bus)\nA4, W5 runs to St. Elizabeth's Gate 4 (Coast Guard HQ) to D.C. Village (North Parking Lot)Weekdays Only.                                                    | A4 and A5 operated to Archives station (as part of the Anacostia Line) until Anacostia opened in 1991\nThe route north of Anacostia is now served by P6\nThe A5 covered the A4 route but excluded Fort Drum. It was discontinued on March 24, 2013, replaced by the W5 which runs on South Capitol Street (SB) and DC-295 (NB).                                                                                                                                                                                                                                                                                              |
| 18 | A9                            | Martin Luther King Jr Ave MetroExtra Line   | Limited Stop | Livingston Road & 3rd Street, SE                                                                                                     | McPherson Square station (Franklin Square Entrance)                                                                      | Martin Luther King Jr Ave                                                                                                                                  | A9: weekday MetroExtra Peak Hour service only (AM to McPherson Square, PM to Livingston Road)\nLimited Stops Only                                                                                                                                                                                               | A9 is now a MetroExtra Bus service as of March 24, 2013.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 19 | B2                            | Bladensburg Road-Anacostia Line             | Local*       | Mount Rainier Terminal (Rhode Island Ave & 34th Street)                                                                              | Anacostia station                                                                                                        | Bladensburg Road NE\n14th Street NE (to Anacostia)\n15th Street NE (to Mount Rainier)\nMinnesota Avenue SE                                                 | Some trips terminate at Bladensburg Road & V Street NE\nsome PM peak hour trips start at Potomac Avenue station on school days only\nFare: $1 (south of the 11th Street Bridge unless transferring to another bus)                                                                                              | B2 used to operate to 16th & W Streets, SE in Anacostia until Anacostia station opened in 1991\nB2 then covered the portion of the old B4 & B5 routes to Barry Farms after the station opened                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 20 | B8, B9                        | Fort Lincoln Shuttle Line                   | Local        | B8 Fort Lincoln (Petersburg Apartments)\nB9 Colmar Manor (40th Place & Bladensburg Road)                                             | Rhode Island Avenue – Brentwood station                                                                                  | Bladensburg Road (B9)\nFranklin Street NE\nRhode Island Avenue NE                                                                                          | B8: Monday-Friday service only, except middays\nB9: Monday-Friday midday service only                                                                                                                                                                                                                           | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 21 | D1                            | Glover Park-Federal Triangle Line           | Local        | Glover Park (41st St & Davis Pl NW)                                                                                                  | Federal Triangle (10th St & Constitution Av NW)                                                                          | Q Street NW\nK Street NW\n13th Street NW                                                                                                                   | weekday peak hour service only (AM to Federal Triangle, PM to Glover Park)                                                                                                                                                                                                                                      | D1 operated to Union Station/Ivy City until redirected to Federal Triangle in 2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 22 | D2                            | Glover Park-Dupont Circle Line              | Local        | Glover Park (41st St & Davis Pl NW)                                                                                                  | Dupont Circle station (20th & Q Sts NW Entrance)                                                                         | Q Street NW                                                                                                                                                | nan                                                                                                                                                                                                                                                                                                             | D2 operated to Stadium-Armory station (as part of the Glover Park-Trinidad Line) until replaced by the D6 east of Dupont Circle in the mid-1990s                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| 23 | D3                            | Ivy City-Dupont Circle Line                 | Local        | Ivy City (New York Avenue & Fenwick Street NE)                                                                                       | Georgetown (35th Street & Reservoir Road NW) (AM End)\nDupont Circle (20th St & Massachusetts Av NW) (PM Start)          | Q Street NW (to Reservoir Road)\nK Street NW/NE\nE Street NW                                                                                               | D3 operates weekday peak hours only (AM to Reservoir Road, PM to Ivy City)                                                                                                                                                                                                                                      | D3 operated between Sibley Hospital and Union Station (with select peak hour service from Ivy City) until 2010 when the D1 was rerouted to Federal Triangle                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 24 | D4                            | Ivy City-Franklin Square Line               | Local        | Ivy City (New York Avenue & Fenwick Street NE)                                                                                       | McPherson Square station (Franklin Square Entrance)                                                                      | K Street NW/NE                                                                                                                                             | nan                                                                                                                                                                                                                                                                                                             | D4 at first operated to Sibley Hospital (as part of the Glover Park-Trinidad Line) until replaced by D6 in the mid-1990s\nIt then operated to Union Station (as the Ivy City-Union Station Line) until 2010, when it was extended to Franklin Square                                                                                                                                                                                                                                                                                                                                                                         |
| 25 | D5                            | MacArthur Boulevard-Georgetown Line         | Local        | Little Flower Church (Bethesda, MD)                                                                                                  | Farragut Square                                                                                                          | MacArthur Boulevard NW\nM Street NW\nPennsylvania Avenue NW                                                                                                | Operates weekday peak hours only (AM to Farragut Square, PM to Little Flower Church).                                                                                                                                                                                                                           | Formerly known as the MacArthur Boulevard-M Street Line (with the former D9, which was discontinued in the mid-1990s)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| 26 | D6                            | Sibley Hospital-Stadium Armory Line         | Local        | Sibley Hospital                                                                                                                      | Stadium-Armory station (North Entrance)                                                                                  | MacArthur Boulevard NW\nQ Street NW\nK Street NW\nE Street NW\nC Street NE (to Stadium-Armory)\nD Street NE (to Sibley Hospital)                           | nan                                                                                                                                                                                                                                                                                                             | D6 originally operated between Glover Park & Washington Hospital Center (as part of the Glover Park-Trinidad Line) until the mid-1990s, when it was rerouted to serve Sibley Hospital (replacing the truncated D4 & D8 west of Union Station and Stadium-Armory (replacing the truncated 42 & D2 east of Dupont Circle.                                                                                                                                                                                                                                                                                                      |
| 27 | D8                            | Hospital Center Line                        | Local        | Washington Hospital Center                                                                                                           | Union Station                                                                                                            | Franklin Street NE\nBrentwood Road NE\nMount Olivet Rd NE\nK Street NE                                                                                     | Some trips end at Rhode Island Avenue – Brentwood station during the PM peak hour period                                                                                                                                                                                                                        | D8 operated to Sibley Hospital (as part of the Glover Park-Trinidad Line) until replaced by the D6 (west of Union Station) in the mid-1990s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| 28 | E2, E3, E4                    | Military Road-Crosstown Line                | Local        | Friendship Heights station                                                                                                           | E2 Fort Totten station\nE2, E3 Ivy City (New York Av & Fenwick St NE)\nE4 Riggs Park (Eastern Av & Jamaica St NE)        | Military Road\nKennedy Street\nSouth Dakota Avenue (E2, E3)\n18th Street NE (E2, E3)                                                                       | E2 terminates at Fort Totten station when E3 is in operation (weekends only)\nE3 also serves Riggs Park (it is a combination of the E2 and E4)                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 29 | E6                            | Chevy Chase Line                            | Local        | Knollwood (Knollwood Retirement Home)                                                                                                | Friendship Heights station                                                                                               | Western Avenue\nMcKinley Street NW                                                                                                                         | nan                                                                                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 30 | G2                            | P Street-LeDroit Park Line                  | Local        | Georgetown University (37th & O Streets NW)                                                                                          | LeDroit Park (Bryant & 4th Streets NW)                                                                                   | P Street NW                                                                                                                                                | nan                                                                                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 31 | G8                            | Rhode Island Avenue Line                    | Local        | Avondale (Eastern & Michigan Avs NE)                                                                                                 | Farragut Square                                                                                                          | Monroe Street NE\nRhode Island Avenue NW/NE\n9th Street NW (to Farragut Square)\n11th Street NW (to Avondale)\nH Street NW                                 | Some trips operate from Brookland-CUA station to Avondale during weekday PM peak hours                                                                                                                                                                                                                          | G8 is a combination of the old G4 & G6 that operated to Lafayette Square (G4) & Gallery Place station (G6) until the mid-1990s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 32 | H1                            | Brookland-Potomac Park Line                 | Local        | Brookland-CUA station                                                                                                                | Potomac Park (17th & C Streets NW)                                                                                       | Michigan Avenue NW/NE\nColumbia Road NW\n23rd Street NW                                                                                                    | weekday peak hour service only (AM to Potomac Park, PM to Brookland)                                                                                                                                                                                                                                            | H1 was discontinued in the mid-1990s until it was "reincarnated" in 2006                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 33 | H2, H3, H4                    | Crosstown Line                              | Local        | Tenleytown-AU station                                                                                                                | Brookland-CUA station                                                                                                    | Wisconsin Avenue\nPorter Street NW\nVan Ness/Veazey Street NW (H2)\nConnecticut Avenue (H2)\nColumbia Road NW/Irving Street NW\nMichigan Avenue NW/NE      | H3: weekday peak hour service only\nH3: Skips Washington Hospital Center                                                                                                                                                                                                                                        | H2 & H4 operated to Fort Lincoln (east of Brookland station) until replaced by H6 in the late 1990s. They also operated to Westmoreland Circle & Western Avenue NW (west of Tenleytown station) until replaced by the N8 in the late 1990s. H3's route west of Porter Street & Connecticut Avenue NW was served by H2 until it was rerouted to serve and terminate at Van Ness Station in the early 2000s. H2 was later rerouted back to its Tenleytown terminus, replacing the N8 route east of Tenleytown and rerouting the H3 to serve exactly the same route as the H4 with the exception of Washington Hospital Center. |
| 34 | H6                            | Brookland-Fort Lincoln Line                 | Local        | Fort Lincoln (Petersburg Apartments)                                                                                                 | Brookland-CUA station                                                                                                    | Franklin Street NE\n14th Street NE                                                                                                                         | nan                                                                                                                                                                                                                                                                                                             | H6 covers the route covered by the H2 & H4 between Brookland station & Fort Lincoln until the late 1990s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 35 | H8, H9                        | Park Road-Brookland Line                    | Local        | H8 Mount Pleasant (Mount Pleasant & 17th Streets NW)\nH9 Archbishop Carroll High School                                              | Rhode Island Avenue – Brentwood station                                                                                  | Irving Street NW (H8)\nRock Creek Church Road NW (H8)\n10th Street NE\n12th Street NE                                                                      | H9 only operates when Carroll High School is open\nSome H8 trips operate from Rock Creek Church Rd & Upshur Street NW to Columbia Heights station during the PM peak hours when public schools are open                                                                                                         | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 36 | K2                            | Takoma-Fort Totten Line                     | Local        | Takoma station                                                                                                                       | Fort Totten station                                                                                                      | North Capitol Street\nKansas Avenue NE\nEastern Avenue                                                                                                     | Weekday peak hour service only                                                                                                                                                                                                                                                                                  | K2 operated to Walter Reed Army Medical Center until 2005, when it was replaced by K1 north of Takoma station.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| 37 | L1, L2                        | Connecticut Avenue Line                     | Local        | Chevy Chase Circle                                                                                                                   | L1 Potomac Park (17th & C Streets NW)\nL2 McPherson Square station                                                       | Connecticut Avenue NW\nCalvert Street NW (L2)\n18th Street NW (L2)\n23rd Street NW (L1)\nK Street NW (L2)                                                  | L1 weekday peak hour service only (AM to Potomac Park, PM to Chevy Chase Circle)                                                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 38 | M4                            | Nebraska Avenue Line                        | Local        | Pinehurst Circle\nTenleytown-AU station                                                                                              | Sibley Hospital                                                                                                          | Nebraska Avenue NW                                                                                                                                         | Monday-Friday service only.                                                                                                                                                                                                                                                                                     | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 39 | M6                            | Fairfax Village Line                        | Local        | Fairfax Village (Alabama & Pennsylvania Avs SE)                                                                                      | Potomac Avenue station                                                                                                   | Pennsylvania Avenue SE\nAlabama Avenue SE\nSouthern Avenue                                                                                                 | nan                                                                                                                                                                                                                                                                                                             | Formerly known as the W6 until the early/mid-1990s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 40 | N2, N3, N4, N6                | Massachusetts Avenue Line                   | Local        | Friendship Heights station                                                                                                           | N2, N4, N6 Farragut Square\nN3 Federal Triangle (Constitution Av & 10th St NW)                                           | Western Avenue (N3, N4, N6)\nWisconsin Avenue (N2)\nMassachusetts Avenue\nNew Mexico Avenue NW (N2, N6)\nConnecticut Avenue NW                             | N3: weekday peak hour service only (N3: AM to Federal Triangle, PM to Friendship Heights)\nN2 & N4: Monday-Friday service only.\nN6 is a combination of the N2 and N4, operates post PM rush hour weekdays and all day on weekends.                                                                             | N3 was part of the Massachusetts Av-Federal Triangle Line (along with the former N1) until 1996, when N1 was eliminated & N3 merged with the N2, N4 & N6.\nN4 used to terminate at Westmoreland Circle until the late 1990s.                                                                                                                                                                                                                                                                                                                                                                                                 |
| 41 | P6                            | Anacostia-Eckington Line                    | Local*       | Anacostia station                                                                                                                    | Archives (10th St & Pennsylvania Ave. NW) (P6)\nRhode Island Avenue – Brentwood station (P6)                             | 11th Street Bridge\n\nNew York Avenue NW (P6), 4th Street NE (P6)                                                                                          | Early AM/Late PM P6 terminate at Archives.\n\nFare: $1 (south of the 11th Street Bridge, unless transferring to another bus)                                                                                                                                                                                    | P4, P5 & P6 were created to replace the A routes in 1991 when Anacostia station opened, with P5 & P6 additionally replacing the B6 between Metro Center & Rhode Island Avenue stations. P4 & P5 later merged with the P6, giving it the current route.                                                                                                                                                                                                                                                                                                                                                                       |
| 42 | S1                            | 16th Street-Potomac Park Line               | Local        | 16th Street & Colorado Avenue NW                                                                                                     | Potomac Park (Virginia Av & E St NW)                                                                                     | 16th Street NW\n18th Street NW (to 16th & Colorado)\n19th Street NW (to Potomac Park)                                                                      | Weekday peak hour service only (AM to Potomac Park, PM to 16th & Colorado)                                                                                                                                                                                                                                      | nan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 43 | S2, S4                        | 16th Street Line                            | Local        | Silver Spring station*                                                                                                               | Federal Triangle (10th St & Constitution Av NW)                                                                          | Alaska Avenue NW (S2)\n16th Street NW                                                                                                                      | Some S2 trips originate at 14th Street & Missouri Avenue NW going to Federal Triangle (peak hour only).\nSome northbound S2 trips terminate at 16th Street and Colorado Avenue NW (peak hour only).\nSilver Spring terminus is located on Wayne Avenue until completion of the Paul S. Sarbanes Transit Center. | All S4 weekday non-rush trips were truncated to Franklin Square (I & 13th Streets NW) on June 17, 2012. All S4 trips on the weekends through 7pm were also truncated to Franklin Square on December 30, 2012.                                                                                                                                                                                                                                                                                                                                                                                                                |
| 44 | S9                            | 16th Street MetroExtra Line                 | Limited Stop | Silver Spring (Colesville Road & East-West Highway)                                                                                  | McPherson Square station (Franklin Square Entrance)                                                                      | 16th Street NW                                                                                                                                             | Weekday peak hour service only.                                                                                                                                                                                                                                                                                 | S9 was introduced in 2009, replacing the former S3 & S5 lines that were discontinued in the late 1990s.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 45 | U2                            | Minnesota Avenue-Anacostia Line             | Local*       | Minnesota Avenue station                                                                                                             | Anacostia station                                                                                                        | Minnesota Avenue NE/SE                                                                                                                                     | Monday-Saturday service only.\n\nFare: $1 (south of Good Hope Road & Minnesota Av SE, unless transferring to another bus)                                                                                                                                                                                       | Saturday service began in late 2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 46 | U4                            | Sheriff Road-River Terrace Line             | Local        | River Terrace and Mayfair                                                                                                            | Minnesota Avenue station                                                                                                 | Sheriff Road NE\nMinnesota Avenue NE\nBenning Road NE                                                                                                      | order of terminals (north to south): River Terrace to Minnesota Avenue then Minnesota Avenue to Sheriff Road NE, then reverse.                                                                                                                                                                                  | Formerly known as the M16 (Metro "Mini-Bus")                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 47 | U5, U6                        | Mayfair-Marshall Heights Line               | Local        | U5, U6 Marshall Heights\nU6 Mayfair                                                                                                  | Minnesota Avenue station                                                                                                 | Minnesota Avenue NE/SE\nTexas Avenue SE                                                                                                                    | U6: order of terminals: Marshall Heights to Minnesota Avenue then Minnesota Avenue to Mayfair, then reverse.                                                                                                                                                                                                    | Runs on a portion of the old M16 (Metro "Mini-Bus")                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
