======================================================================
3-Round + Parallel Analysis (思考模式版本) - Question #3620
======================================================================

Base Thinking Mode: True
Analyst Thinking Mode: True

Title: List of ghost towns in Kansas
Question: which town had the longest span between establishment and disestablishment?
Expected Answer: ['Irving']

----------------------------------------------------------------------
Table:
|     | Town name                        | County                         | Established                           | Disestablished                                     | Current Status                                                                                                                                                                                                                                                               | Remarks                                                                                                                                                                                                                                                             |
|  21 | Black Jack                       | Douglas County                 | 1857 (incorporated)                   | 1870s                                              | Santa Fe Trail wagon swales, a roadside park, cemetery and the well-preserved battlefield site remain and are open to public.                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
|  22 | Franklin                         | Douglas County                 | 1853 (early stage stop)               | Post office closed 1867                            | Nothing remains of the town except two small neglected cemeteries and Franklin Road off of K-10.                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  23 | Big Springs                      | Douglas County                 | 1854                                  | nan                                                | A small population remains along U.S. 40.                                                                                                                                                                                                                                    | nan                                                                                                                                                                                                                                                                 |
|  24 | Calhoun                          | Shawnee County                 | 1855                                  | 1868                                               | Nothing remains of this town.                                                                                                                                                                                                                                                | Calhoun was also the name of a county that was made up of northern Shawnee County, most of Jackson County and half of Pottawatomie County. When Shawnee County's northern border was extended, Calhoun ceased to be.                                                |
|  25 | Indianola                        | Shawnee County                 | 1854                                  | mid-1860s                                          | Nothing remains of the site.                                                                                                                                                                                                                                                 | There is an Indianola Road located near the Goodyear Plant near U.S. 24.                                                                                                                                                                                            |
|  26 | Sumner City                      | Shawnee County                 | Never established                     | nan                                                | Was mainly a paper town that was supposed to be an all-black community east of Topeka.                                                                                                                                                                                       | nan                                                                                                                                                                                                                                                                 |
|  27 | Uniontown                        | Shawnee County                 | 1848                                  | 1854                                               | Townsite is now located in and around the Green Wildlife Refuge southeast of Willard.                                                                                                                                                                                        | Uniontown was a trail stop and a place where the Pottawatomi would spend money. A cholera epidemic killed 22 Indians and they were buried in a mass grave. The grave is located in the center of the cemetery. Not to be confused with Uniontown in Bourbon County. |
|  28 | Peterton                         | Osage County                   | 1870                                  | 1930s                                              | There is still a small population in the area.                                                                                                                                                                                                                               | nan                                                                                                                                                                                                                                                                 |
|  29 | Bushong                          | Lyon County                    | mid-1880s                             | 1984                                               | 2008 estimated population of 50                                                                                                                                                                                                                                              | Several ruins of the downtown and old consolidated school remain.                                                                                                                                                                                                   |
|  30 | Volland                          | Wabaunsee County               | nan                                   | nan                                                | Several buildings remain abandoned in the area.                                                                                                                                                                                                                              | Located about ten miles southwest of Alma.                                                                                                                                                                                                                          |
|  31 | Newbury                          | Wabaunsee County               | 1869                                  | 1888                                               | A small population and a huge Catholic church remain three miles north of Paxico.                                                                                                                                                                                            | nan                                                                                                                                                                                                                                                                 |
|  32 | Army City                        | Geary County                   | 1917                                  | 1920                                               | Any remains of Army City are currently on Fort Riley property.                                                                                                                                                                                                               | Army City was built exclusively for servicemen at Fort Riley during World War I.                                                                                                                                                                                    |
|  33 | Diamond Springs                  | Morris County                  | 1825 (as a Santa Fe Trail stop)       | 1863                                               | Few remains exist but a monument to Diamond Springs was erected in Diamond Springs Cemetery                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
|  34 | Empire City                      | Cherokee County                | 1877                                  | 1907                                               | Any remains are currently maintained by Galena.                                                                                                                                                                                                                              | Empire City was annexed to Galena in 1907.                                                                                                                                                                                                                          |
|  35 | Wilsonton                        | Labette County                 | 1887                                  | 1913                                               | Nothing remains except a cemetery.                                                                                                                                                                                                                                           | Ella Wilson was the founder of the town and when she died in 1913, the town died with her.                                                                                                                                                                          |
|  36 | Ladore                           | Neosho County                  | Incorporated 1869                     | 1874                                               | Inaccessible                                                                                                                                                                                                                                                                 | Was the site of a mass lynching in May 1870.                                                                                                                                                                                                                        |
|  37 | Octagon City                     | Allen County                   | 1855                                  | 1856                                               | Nothing remains of the townsite                                                                                                                                                                                                                                              | Octagon City was a social experiment where the settlers of the town vowed to eat no meat. The town was so called because the main streets were laid out in an octagon.                                                                                              |
|  38 | Cofachiqui                       | Allen County                   | 1855                                  | 1860                                               | The site of Cofachiqui was demolished when a cement company bought the land.                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                 |
|  39 | Mildred                          | Allen County                   | 1907                                  | ca. 1983                                           | 2008 estimated population of 58.                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  40 | Bassett                          | Allen County                   | 1900                                  | 1930s                                              | 2008 estimated population of 21                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
|  41 | Belmont                          | Woodson County                 | 1857                                  | Post office closed in 1877                         | Townsite is now on private property and inaccessible.                                                                                                                                                                                                                        | nan                                                                                                                                                                                                                                                                 |
|  42 | Neosho Falls                     | Woodson County                 | 1857                                  | nan                                                | 2008 estimated population of 159                                                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  43 | Guilford                         | Wilson County                  | 1861                                  | 1889                                               | A few ruins and structures still survive.                                                                                                                                                                                                                                    | nan                                                                                                                                                                                                                                                                 |
|  44 | Cave Springs                     | Elk County                     | 1875                                  | 1949                                               | Now on private property.                                                                                                                                                                                                                                                     | Cave Springs was established as a "health" resort. The resort failed in the 1880s when people starting questioning the springs' healing properties. The town was officially vacated in 1949.                                                                        |
|  45 | Elgin                            | Chautauqua County              | nan                                   | nan                                                | 2008 estimated population of 71                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
|  46 | Midian                           | Buter County                   | 1916                                  | Post office closed in 1950                         | Townsite is now on private property.                                                                                                                                                                                                                                         | nan                                                                                                                                                                                                                                                                 |
|  47 | Oil Hill                         | Butler County                  | 1918                                  | 1969                                               | Townsite is on private property but the Kansas Turnpike does pass under Oil Hill Road just outside of El Dorado.                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  48 | Minersville                      | Cloud County                   | 1870s                                 | 1920s                                              | Some houses and foundations remain along with a cemetery.                                                                                                                                                                                                                    | nan                                                                                                                                                                                                                                                                 |
|  49 | Waconda                          | Mitchell County                | nan                                   | nan                                                | The site lies under the waters of Waconda Reservoir.                                                                                                                                                                                                                         | Located near the Waconda Springs, a natural aquifer used by Native Americans.                                                                                                                                                                                       |
|  50 | Dispatch                         | Smith and Jewell Counties      | 1869                                  | nan                                                | A church, some houses and a cemetery remain.                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                 |
|  51 | Webster                          | Rooks County                   | 1885                                  | 1953                                               | A small community still exists near the Webster Lake dam.                                                                                                                                                                                                                    | nan                                                                                                                                                                                                                                                                 |
|  52 | Long Island                      | Phillips County                | 1870s                                 | nan                                                | 2008 estimated population of 140.                                                                                                                                                                                                                                            | nan                                                                                                                                                                                                                                                                 |
|  53 | Brookville                       | Saline County                  | 1869                                  | nan                                                | 2008 estimated population of 263.                                                                                                                                                                                                                                            | The population was once near 2,000 in 1870s but after the turn of the century, the population began to decline. The city was also the site of the Brookville Hotel until 2000 when the hotel moved to Abilene.                                                      |
|  54 | Sveadal                          | McPherson                      | 1868                                  | 1870s                                              | The townsite is now located within the city limits of Lindsborg.                                                                                                                                                                                                             | nan                                                                                                                                                                                                                                                                 |
|  55 | Beach Valley                     | Rice County                    | 1857                                  | nan                                                | Townsite is now on private property.                                                                                                                                                                                                                                         | nan                                                                                                                                                                                                                                                                 |
|  56 | Dubuque                          | Russell and Barton Counties    | 1887                                  | nan                                                | A beautiful Catholic church and cemetery are all that remain.                                                                                                                                                                                                                | nan                                                                                                                                                                                                                                                                 |
|  57 | Rome                             | Ellis County                   | 1867                                  | 1868                                               | A marker near Fort Hays State College indicates where Rome once was.                                                                                                                                                                                                         | Rome was co-founded by William "Buffalo Bill" Cody.                                                                                                                                                                                                                 |
|  58 | Chetola                          | Ellis County                   | 1886                                  | 1907                                               | Townsite is now on private property.                                                                                                                                                                                                                                         | nan                                                                                                                                                                                                                                                                 |
|  59 | Hunnewell                        | Sumner County                  | nan                                   | 1940s                                              | 2008 estimated population of 75                                                                                                                                                                                                                                              | nan                                                                                                                                                                                                                                                                 |
|  60 | Runnymede                        | Harper County                  | 1887                                  | 1892                                               | Nothing remains of the town.                                                                                                                                                                                                                                                 | nan                                                                                                                                                                                                                                                                 |
|  61 | Freeport                         | Harper County                  | 1878                                  | nan                                                | 2008 estimated population of 7.                                                                                                                                                                                                                                              | Freeport is the smallest incorporated town in Kansas.                                                                                                                                                                                                               |
|  62 | Ash Valley                       | Pawnee County                  | 1916                                  | 1960s                                              | Old roads and some structures still remain.                                                                                                                                                                                                                                  | nan                                                                                                                                                                                                                                                                 |
