======================================================================
3-Round + Parallel Analysis (思考模式版本) - Question #4022
======================================================================

Base Thinking Mode: True
Analyst Thinking Mode: True

Title: List of XML and HTML character entity references
Question: what is the largest unicode code point?
Expected Answer: ['U+2666 (9830)']

----------------------------------------------------------------------
Table:
|     | Name     | Character   | Unicode code point (decimal)   | Standard   | DTD         | Old ISO subset   | Description                                                             |
|  28 | middot   | ·           | U+00B7 (183)                   | HTML 3.2   | HTMLlat1    | ISOnum           | middle dot (Georgian comma, Greek middle dot)                           |
|  29 | cedil    | ̧           | U+00B8 (184)                   | HTML 3.2   | HTMLlat1    | ISOdia           | cedilla (spacing cedilla)                                               |
|  30 | sup1     | 1           | U+00B9 (185)                   | HTML 3.2   | HTMLlat1    | ISOnum           | superscript one (superscript digit one)                                 |
|  31 | ordm     | o           | U+00BA (186)                   | HTML 3.2   | HTMLlat1    | ISOnum           | masculine ordinal indicator                                             |
|  32 | raquo    | »           | U+00BB (187)                   | HTML 3.2   | HTMLlat1    | ISOnum           | right-pointing double angle quotation mark (right pointing guillemet)   |
|  33 | frac14   | 1⁄4         | U+00BC (188)                   | HTML 3.2   | HTMLlat1    | ISOnum           | vulgar fraction one quarter (fraction one quarter)                      |
|  34 | frac12   | 1⁄2         | U+00BD (189)                   | HTML 3.2   | HTMLlat1    | ISOnum           | vulgar fraction one half (fraction one half)                            |
|  35 | frac34   | 3⁄4         | U+00BE (190)                   | HTML 3.2   | HTMLlat1    | ISOnum           | vulgar fraction three quarters (fraction three quarters)                |
|  36 | iquest   | ¿           | U+00BF (191)                   | HTML 3.2   | HTMLlat1    | ISOnum           | inverted question mark (turned question mark)                           |
|  37 | Agrave   | À          | U+00C0 (192)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with grave accent (Latin capital letter A grave) |
|  38 | Aacute   | Á          | U+00C1 (193)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with acute accent                                |
|  39 | Acirc    | Â          | U+00C2 (194)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with circumflex                                  |
|  40 | Atilde   | Ã          | U+00C3 (195)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with tilde                                       |
|  41 | Auml     | Ä          | U+00C4 (196)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with diaeresis                                   |
|  42 | Aring    | Å          | U+00C5 (197)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter A with ring above (Latin capital letter A ring)    |
|  43 | AElig    | Æ           | U+00C6 (198)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter AE (Latin capital ligature AE)                     |
|  44 | Ccedil   | Ç          | U+00C7 (199)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter C with cedilla                                     |
|  45 | Egrave   | È          | U+00C8 (200)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with grave accent                                |
|  46 | Eacute   | É          | U+00C9 (201)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with acute accent                                |
|  47 | Ecirc    | Ê          | U+00CA (202)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with circumflex                                  |
|  48 | Euml     | Ë          | U+00CB (203)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter E with diaeresis                                   |
|  49 | Igrave   | Ì          | U+00CC (204)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with grave accent                                |
|  50 | Iacute   | Í          | U+00CD (205)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with acute accent                                |
|  51 | Icirc    | Î          | U+00CE (206)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with circumflex                                  |
|  52 | Iuml     | Ï          | U+00CF (207)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter I with diaeresis                                   |
|  53 | ETH      | Ð           | U+00D0 (208)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter Eth                                                |
|  54 | Ntilde   | Ñ          | U+00D1 (209)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter N with tilde                                       |
|  55 | Ograve   | Ò          | U+00D2 (210)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with grave accent                                |
|  56 | Oacute   | Ó          | U+00D3 (211)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with acute accent                                |
|  57 | Ocirc    | Ô          | U+00D4 (212)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with circumflex                                  |
|  58 | Otilde   | Õ          | U+00D5 (213)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with tilde                                       |
|  59 | Ouml     | Ö          | U+00D6 (214)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with diaeresis                                   |
|  60 | times    | ×           | U+00D7 (215)                   | HTML 3.2   | HTMLlat1    | ISOnum           | multiplication sign                                                     |
|  61 | Oslash   | Ø           | U+00D8 (216)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter O with stroke (Latin capital letter O slash)       |
|  62 | Ugrave   | Ù          | U+00D9 (217)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with grave accent                                |
|  63 | Uacute   | Ú          | U+00DA (218)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with acute accent                                |
|  64 | Ucirc    | Û          | U+00DB (219)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with circumflex                                  |
|  65 | Uuml     | Ü          | U+00DC (220)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter U with diaeresis                                   |
|  66 | Yacute   | Ý          | U+00DD (221)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter Y with acute accent                                |
|  67 | THORN    | Þ           | U+00DE (222)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin capital letter THORN                                              |
|  68 | szlig    | ß           | U+00DF (223)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter sharp s (ess-zed); see German Eszett                 |
|  69 | agrave   | à          | U+00E0 (224)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with grave accent                                  |
|  70 | aacute   | á          | U+00E1 (225)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with acute accent                                  |
|  71 | acirc    | â          | U+00E2 (226)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with circumflex                                    |
|  72 | atilde   | ã          | U+00E3 (227)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with tilde                                         |
|  73 | auml     | ä          | U+00E4 (228)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with diaeresis                                     |
|  74 | aring    | å          | U+00E5 (229)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter a with ring above                                    |
|  75 | aelig    | æ           | U+00E6 (230)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter ae (Latin small ligature ae)                         |
|  76 | ccedil   | ç          | U+00E7 (231)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter c with cedilla                                       |
|  77 | egrave   | è          | U+00E8 (232)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with grave accent                                  |
|  78 | eacute   | é          | U+00E9 (233)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with acute accent                                  |
|  79 | ecirc    | ê          | U+00EA (234)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with circumflex                                    |
|  80 | euml     | ë          | U+00EB (235)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter e with diaeresis                                     |
|  81 | igrave   | ì          | U+00EC (236)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with grave accent                                  |
|  82 | iacute   | í          | U+00ED (237)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with acute accent                                  |
|  83 | icirc    | î          | U+00EE (238)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with circumflex                                    |
|  84 | iuml     | ï          | U+00EF (239)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter i with diaeresis                                     |
|  85 | eth      | ð           | U+00F0 (240)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter eth                                                  |
|  86 | ntilde   | ñ          | U+00F1 (241)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter n with tilde                                         |
|  87 | ograve   | ò          | U+00F2 (242)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with grave accent                                  |
|  88 | oacute   | ó          | U+00F3 (243)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with acute accent                                  |
|  89 | ocirc    | ô          | U+00F4 (244)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with circumflex                                    |
|  90 | otilde   | õ          | U+00F5 (245)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with tilde                                         |
|  91 | ouml     | ö          | U+00F6 (246)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with diaeresis                                     |
|  92 | divide   | ÷           | U+00F7 (247)                   | HTML 3.2   | HTMLlat1    | ISOnum           | division sign (obelus)                                                  |
|  93 | oslash   | ø           | U+00F8 (248)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter o with stroke (Latin small letter o slash)           |
|  94 | ugrave   | ù          | U+00F9 (249)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with grave accent                                  |
|  95 | uacute   | ú          | U+00FA (250)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with acute accent                                  |
|  96 | ucirc    | û          | U+00FB (251)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with circumflex                                    |
|  97 | uuml     | ü          | U+00FC (252)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter u with diaeresis                                     |
|  98 | yacute   | ý          | U+00FD (253)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter y with acute accent                                  |
|  99 | thorn    | þ           | U+00FE (254)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter thorn                                                |
| 100 | yuml     | ÿ          | U+00FF (255)                   | HTML 2.0   | HTMLlat1    | ISOlat1          | Latin small letter y with diaeresis                                     |
| 101 | OElig    | Œ           | U+0152 (338)                   | HTML 4.0   | HTMLspecial | ISOlat2          | Latin capital ligature oe                                               |
| 102 | oelig    | œ           | U+0153 (339)                   | HTML 4.0   | HTMLspecial | ISOlat2          | Latin small ligature oe                                                 |
| 103 | Scaron   | Š          | U+0160 (352)                   | HTML 4.0   | HTMLspecial | ISOlat2          | Latin capital letter s with caron                                       |
| 104 | scaron   | š          | U+0161 (353)                   | HTML 4.0   | HTMLspecial | ISOlat2          | Latin small letter s with caron                                         |
| 105 | Yuml     | Ÿ          | U+0178 (376)                   | HTML 4.0   | HTMLspecial | ISOlat2          | Latin capital letter y with diaeresis                                   |
| 106 | fnof     | ƒ           | U+0192 (402)                   | HTML 4.0   | HTMLsymbol  | ISOtech          | Latin small letter f with hook (function, florin)                       |
| 107 | circ     | ˆ           | U+02C6 (710)                   | HTML 4.0   | HTMLspecial | ISOpub           | modifier letter circumflex accent                                       |
| 108 | tilde    | ̃           | U+02DC (732)                   | HTML 4.0   | HTMLspecial | ISOdia           | small tilde                                                             |
| 109 | Alpha    | Α           | U+0391 (913)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Alpha                                              |
| 110 | Beta     | Β           | U+0392 (914)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Beta                                               |
| 111 | Gamma    | Γ           | U+0393 (915)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Gamma                                              |
| 112 | Delta    | Δ           | U+0394 (916)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Delta                                              |
| 113 | Epsilon  | Ε           | U+0395 (917)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Epsilon                                            |
| 114 | Zeta     | Ζ           | U+0396 (918)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Zeta                                               |
| 115 | Eta      | Η           | U+0397 (919)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Eta                                                |
| 116 | Theta    | Θ           | U+0398 (920)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Theta                                              |
| 117 | Iota     | Ι           | U+0399 (921)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Iota                                               |
| 118 | Kappa    | Κ           | U+039A (922)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Kappa                                              |
| 119 | Lambda   | Λ           | U+039B (923)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Lambda                                             |
| 120 | Mu       | Μ           | U+039C (924)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Mu                                                 |
| 121 | Nu       | Ν           | U+039D (925)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Nu                                                 |
| 122 | Xi       | Ξ           | U+039E (926)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Xi                                                 |
| 123 | Omicron  | Ο           | U+039F (927)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Omicron                                            |
| 124 | Pi       | Π           | U+03A0 (928)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Pi                                                 |
| 125 | Rho      | Ρ           | U+03A1 (929)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Rho                                                |
| 126 | Sigma    | Σ           | U+03A3 (931)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Sigma                                              |
| 127 | Tau      | Τ           | U+03A4 (932)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Tau                                                |
| 128 | Upsilon  | Υ           | U+03A5 (933)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Upsilon                                            |
| 129 | Phi      | Φ           | U+03A6 (934)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Phi                                                |
| 130 | Chi      | Χ           | U+03A7 (935)                   | HTML 4.0   | HTMLsymbol  | nan              | Greek capital letter Chi                                                |
| 131 | Psi      | Ψ           | U+03A8 (936)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Psi                                                |
| 132 | Omega    | Ω           | U+03A9 (937)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek capital letter Omega                                              |
| 133 | alpha    | α           | U+03B1 (945)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter alpha                                                |
| 134 | beta     | β           | U+03B2 (946)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter beta                                                 |
| 135 | gamma    | γ           | U+03B3 (947)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter gamma                                                |
| 136 | delta    | δ           | U+03B4 (948)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter delta                                                |
| 137 | epsilon  | ε           | U+03B5 (949)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter epsilon                                              |
| 138 | zeta     | ζ           | U+03B6 (950)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter zeta                                                 |
| 139 | eta      | η           | U+03B7 (951)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter eta                                                  |
| 140 | theta    | θ           | U+03B8 (952)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter theta                                                |
| 141 | iota     | ι           | U+03B9 (953)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter iota                                                 |
| 142 | kappa    | κ           | U+03BA (954)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter kappa                                                |
| 143 | lambda   | λ           | U+03BB (955)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter lambda                                               |
| 144 | mu       | μ           | U+03BC (956)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter mu                                                   |
| 145 | nu       | ν           | U+03BD (957)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter nu                                                   |
| 146 | xi       | ξ           | U+03BE (958)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter xi                                                   |
| 147 | omicron  | ο           | U+03BF (959)                   | HTML 4.0   | HTMLsymbol  | NEW              | Greek small letter omicron                                              |
| 148 | pi       | π           | U+03C0 (960)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter pi                                                   |
| 149 | rho      | ρ           | U+03C1 (961)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter rho                                                  |
| 150 | sigmaf   | ς           | U+03C2 (962)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter final sigma                                          |
| 151 | sigma    | σ           | U+03C3 (963)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter sigma                                                |
| 152 | tau      | τ           | U+03C4 (964)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter tau                                                  |
| 153 | upsilon  | υ           | U+03C5 (965)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter upsilon                                              |
| 154 | phi      | φ           | U+03C6 (966)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter phi                                                  |
| 155 | chi      | χ           | U+03C7 (967)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter chi                                                  |
| 156 | psi      | ψ           | U+03C8 (968)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter psi                                                  |
| 157 | omega    | ω           | U+03C9 (969)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek small letter omega                                                |
| 158 | thetasym | θ           | U+03D1 (977)                   | HTML 4.0   | HTMLsymbol  | NEW              | Greek theta symbol                                                      |
| 159 | upsih    | Υ           | U+03D2 (978)                   | HTML 4.0   | HTMLsymbol  | NEW              | Greek Upsilon with hook symbol                                          |
| 160 | piv      | π           | U+03D6 (982)                   | HTML 4.0   | HTMLsymbol  | ISOgrk3          | Greek pi symbol                                                         |
| 161 | ensp     | nan         | U+2002 (8194)                  | HTML 4.0   | HTMLspecial | ISOpub           | en space                                                                |
| 162 | emsp     | nan         | U+2003 (8195)                  | HTML 4.0   | HTMLspecial | ISOpub           | em space                                                                |
| 163 | thinsp   | nan         | U+2009 (8201)                  | HTML 4.0   | HTMLspecial | ISOpub           | thin space                                                              |
| 164 | zwnj     | nan         | U+200C (8204)                  | HTML 4.0   | HTMLspecial | NEW RFC 2070     | zero-width non-joiner                                                   |
| 165 | zwj      | nan         | U+200D (8205)                  | HTML 4.0   | HTMLspecial | NEW RFC 2070     | zero-width joiner                                                       |
| 166 | lrm      | nan         | U+200E (8206)                  | HTML 4.0   | HTMLspecial | NEW RFC 2070     | left-to-right mark                                                      |
| 167 | rlm      | nan         | U+200F (8207)                  | HTML 4.0   | HTMLspecial | NEW RFC 2070     | right-to-left mark                                                      |
| 168 | ndash    | –           | U+2013 (8211)                  | HTML 4.0   | HTMLspecial | ISOpub           | en dash                                                                 |
| 169 | mdash    | —           | U+2014 (8212)                  | HTML 4.0   | HTMLspecial | ISOpub           | em dash                                                                 |
| 170 | lsquo    | ‘           | U+2018 (8216)                  | HTML 4.0   | HTMLspecial | ISOnum           | left single quotation mark                                              |
| 171 | rsquo    | ’           | U+2019 (8217)                  | HTML 4.0   | HTMLspecial | ISOnum           | right single quotation mark                                             |
| 172 | sbquo    | ‚           | U+201A (8218)                  | HTML 4.0   | HTMLspecial | NEW              | single low-9 quotation mark                                             |
| 173 | ldquo    | “           | U+201C (8220)                  | HTML 4.0   | HTMLspecial | ISOnum           | left double quotation mark                                              |
| 174 | rdquo    | ”           | U+201D (8221)                  | HTML 4.0   | HTMLspecial | ISOnum           | right double quotation mark                                             |
| 175 | bdquo    | „           | U+201E (8222)                  | HTML 4.0   | HTMLspecial | NEW              | double low-9 quotation mark                                             |
| 176 | dagger   | †           | U+2020 (8224)                  | HTML 4.0   | HTMLspecial | ISOpub           | dagger, obelisk                                                         |
| 177 | Dagger   | ‡           | U+2021 (8225)                  | HTML 4.0   | HTMLspecial | ISOpub           | double dagger, double obelisk                                           |
| 178 | bull     | •           | U+2022 (8226)                  | HTML 4.0   | HTMLspecial | ISOpub           | bullet (black small circle)                                             |
| 179 | hellip   | ...         | U+2026 (8230)                  | HTML 4.0   | HTMLsymbol  | ISOpub           | horizontal ellipsis (three dot leader)                                  |
| 180 | permil   | ‰           | U+2030 (8240)                  | HTML 4.0   | HTMLspecial | ISOtech          | per mille sign                                                          |
| 181 | prime    | ′           | U+2032 (8242)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | prime (minutes, feet)                                                   |
| 182 | Prime    | ′′          | U+2033 (8243)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | double prime (seconds, inches)                                          |
| 183 | lsaquo   | ‹           | U+2039 (8249)                  | HTML 4.0   | HTMLspecial | ISO proposed     | single left-pointing angle quotation mark                               |
| 184 | rsaquo   | ›           | U+203A (8250)                  | HTML 4.0   | HTMLspecial | ISO proposed     | single right-pointing angle quotation mark                              |
| 185 | oline    | ̅           | U+203E (8254)                  | HTML 4.0   | HTMLsymbol  | NEW              | overline (spacing overscore)                                            |
| 186 | frasl    | ⁄           | U+2044 (8260)                  | HTML 4.0   | HTMLsymbol  | NEW              | fraction slash (solidus)                                                |
| 187 | euro     | €           | U+20AC (8364)                  | HTML 4.0   | HTMLspecial | NEW              | euro sign                                                               |
| 188 | image    | I           | U+2111 (8465)                  | HTML 4.0   | HTMLsymbol  | ISOamso          | black-letter capital I (imaginary part)                                 |
| 189 | weierp   | ℘           | U+2118 (8472)                  | HTML 4.0   | HTMLsymbol  | ISOamso          | script capital P (power set, Weierstrass p)                             |
| 190 | real     | R           | U+211C (8476)                  | HTML 4.0   | HTMLsymbol  | ISOamso          | black-letter capital R (real part symbol)                               |
| 191 | trade    | TM          | U+2122 (8482)                  | HTML 4.0   | HTMLsymbol  | ISOnum           | trademark symbol                                                        |
| 192 | alefsym  | א           | U+2135 (8501)                  | HTML 4.0   | HTMLsymbol  | NEW              | alef symbol (first transfinite cardinal)                                |
| 193 | larr     | ←           | U+2190 (8592)                  | HTML 4.0   | HTMLsymbol  | ISOnum           | leftwards arrow                                                         |
| 194 | uarr     | ↑           | U+2191 (8593)                  | HTML 4.0   | HTMLsymbol  | ISOnum           | upwards arrow                                                           |
| 195 | rarr     | →           | U+2192 (8594)                  | HTML 4.0   | HTMLsymbol  | ISOnum           | rightwards arrow                                                        |
| 196 | darr     | ↓           | U+2193 (8595)                  | HTML 4.0   | HTMLsymbol  | ISOnum           | downwards arrow                                                         |
| 197 | harr     | ↔           | U+2194 (8596)                  | HTML 4.0   | HTMLsymbol  | ISOamsa          | left right arrow                                                        |
| 198 | crarr    | ↵           | U+21B5 (8629)                  | HTML 4.0   | HTMLsymbol  | NEW              | downwards arrow with corner leftwards (carriage return)                 |
| 199 | lArr     | ⇐           | U+21D0 (8656)                  | HTML 4.0   | HTMLsymbol  | ISOtech          | leftwards double arrow                                                  |
